,[RSP2011],HIP,RAJ2000,DEJ2000,2MASS,EPIC,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit,bp,gmag,kepmag,kepmag_err,parallax,parallax_err,rp,prot
0,   64,     ,03 34 10.5,+22 04 21.2,03341053+2204213,210942999,13.68,    0.17,2,4.0,det,1.8088,0.6747,0.0094,0,N,corr,    1.8088,    0.8608,0.0082635,Y,N,1,16.502295,14.6100855,13.675,999999,28.166406629878804,0.09678465683350156,13.300308,1.8088
1,     ,     ,03 40 45.8,+17 34 47.7,03404581+1734477,210643507,16.64,    0.13,0,3.0,det,22.2675,0.0867,0.0091,2,N,corr,          ,          ,0.020289500000000002,N,N,0,18.53926,16.26901,16.638,999999,23.805452541047778,0.14664036639740308,14.877822,0.0
2,   75,     ,03 42 04.4,+16 25 18.3,03420441+1625183,210563410,15.13,    0.18,0,2.0,det,21.4717,0.096,0.0083,2,N,corr,          ,          ,0.1586375,Y,Y,0,16.72378,14.872567,15.128,999999,23.380591334351095,0.10148037320232266,13.567423,0.0
3,   78,     ,03 43 47.0,+20 51 36.4,03434706+2051363,210865372,13.38,    0.32,0,2.5,det,12.3675,0.5442,0.0091,0,N,corr,   12.3168,    0.6320,0.014581,Y,N,0,14.837266,13.336599,13.38,999999,22.088883138361986,0.06410096313550968,12.140936,12.3168
4,   80,     ,03 46 59.5,+15 24 16.8,03465952+1524170,210499476,14.16,    0.18,2,4.0,det,0.8584,0.7303,0.0098,0,N,corr,    0.8584,    0.7517,0.0058145,N,N,1,15.804864,13.963063,14.165,999999,35.27450898256822,0.13240274009200698,12.665202,0.8584
5,   82,     ,03 49 43.2,+24 19 04.6,03494325+2419046,211084463,14.99,    0.38,0,3.0,det,22.1036,0.0723,0.0096,2,N,corr,          ,          ,0.0917035,Y,Y,0,17.782963,16.065794,14.987,999999,7.388972892374284,0.11912328241293109,14.769576,0.0
6,   85,18018,03 51 03.0,+23 54 13.5,03510309+2354134,211058178,9.78,    0.79,2,4.5,det,12.5745,0.5555,0.0094,0,N,corr,   12.5745,    0.5562,0.0033689999999999996,Y,N,1,10.446387,9.787785,9.779,999999,24.464327082342002,0.04525517791435899,9.042575,12.5745
7,   86,     ,03 52 41.0,+25 48 16.0,03524101+2548159,211169647,10.59,    0.66,0,6.5,det,14.6609,0.6264,0.01,0,M,corr,   14.6609,    0.6342,0.0035175,Y,Y,0,11.364372,10.572748,10.592,999999,22.489759048612417,0.060383251845635734,9.732307,14.6609
8,   87,     ,03 52 42.7,+25 12 26.2,03524271+2512260,211137806,15.35,    0.13,0,3.0,det,14.3802,0.5712,0.0102,0,N,corr,   14.3802,    0.7170,0.014247,Y,N,0,18.181225,16.261477,15.35,999999,9.46179604132785,0.12794393081077482,14.930154,14.3802
9,   94,18322,03 55 01.3,+12 29 08.2,03550142+1229081,210359769,9.76,    0.63,0,3.5,det,22.1036,0.0502,0.0111,2,N,corr,          ,          ,0.016071000000000002,Y,M,0,10.363303,9.766113,9.762,999999,21.72182299425588,0.04078364057133296,9.067604,0.0
10,   98,     ,03 55 36.9,+21 18 48.1,03553690+2118482,210894955,14.59,    0.13,0,5.0,raw,38.0683,0.2157,0.009,1,N,sec ,    0.7257,    0.0902,0.0029935,Y,N,0,18.088175,15.706417,14.585,999999,34.68742594617263,0.13496177330064685,14.286435,0.7257
11,   99,     ,03 55 57.1,+18 25 56.2,03555715+1825564,210704853,13.11,    0.37,0,5.0,det,22.7739,0.566,0.0091,1,Y,corr,   23.1244,    0.6160,0.006335,N,N,0,14.428411,13.017426,13.107,999999,22.867298831383366,0.06463317278407117,11.858597,23.1244
12,  104,     ,03 58 14.3,+12 37 40.8,03581434+1237408,210365286,14.1,    0.17,0,5.0,det,0.8686,0.2837,0.0096,0,N,corr,    0.8686,    0.3102,0.0028255,Y,Y,0,17.014067,15.111156,14.096,999999,21.94614820383863,0.10251905075692777,13.799521,0.8686
13,  106,     ,03 58 35.8,+13 06 18.1,03583581+1306182,210384590,9.17,    1.17,1,5.0,det,22.4337,0.0813,0.0103,2,N,corr,          ,          ,0.050151999999999995,Y,N,0,9.214348,8.840317,9.168,999999,16.299941353266533,0.05037039680314023,8.341402,0.0
14,  109,     ,03 59 14.1,+22 02 37.8,03591417+2202380,210941195,13.36,    0.46,0,4.5,det,20.5888,0.3876,0.0092,1,M,corr,   20.7309,    0.6087,0.001973,Y,N,0,13.277638,12.076345,13.363,999999,24.63161047024897,0.05021229064593435,11.005822,20.7309
15,  111,     ,03 59 15.0,+16 39 51.9,03591499+1639520,210579563,14.52,    0.20,0,3.5,det,1.2774,0.7753,0.0091,0,N,corr,    1.2774,    0.7883,0.005336,Y,N,0,16.08111,14.344322,14.52,999999,23.876064586898945,0.08596949804080778,13.074967,1.2774
16,  113,     ,03 59 26.6,+23 23 07.6,03592659+2323077,211026112,13.8,    0.19,0,5.0,det,1.3183,0.628,0.0096,0,N,corr,    1.3183,    0.6633,0.0045545,N,N,0,16.460695,14.676657,13.798,999999,22.40821667959589,0.09822465466972688,13.397477,1.3183
17,  115,     ,03 59 51.8,+22 36 13.4,03595180+2236135,210976212,14.41,    0.28,0,3.0,det,22.2675,0.1162,0.0086,2,N,corr,          ,          ,0.0026945,N,N,0,15.144286,13.754287,14.411,999999,16.16978154707081,0.07929583311149596,12.599532,0.0
18,  116,     ,04 00 15.5,+19 24 36.5,04001556+1924367,210769813,13.91,    0.20,0,4.0,det,1.8626,0.897,0.009,0,N,corr,    1.8626,    0.9168,0.009951999999999999,N,N,0,16.441397,14.703896,13.906,999999,20.800346737312672,0.08047651530683812,13.43553,1.8626
19,  117,     ,04 00 44.9,+13 54 22.8,04004493+1354227,210419589,13.49,    0.38,2,5.0,det,2.6612,0.5286,0.0101,0,Y,corr,    2.6612,    0.5400,0.020032499999999998,N,N,1,15.050417,13.329974,13.494,999999,21.24198083062283,0.5319536234506538,12.063632,2.6612
20,  125,18946,04 03 38.9,+19 27 18.3,04033902+1927180,210772796,9.87,    0.76,2,6.0,raw,11.6032,0.8092,0.0096,0,N,corr,   11.6032,    0.8105,0.005896500000000001,Y,Y,1,10.364079,9.774549,9.867,999999,20.81680332749916,0.046617900273413726,9.085566,11.6032
21,  127,     ,04 04 10.7,+15 48 21.8,04041073+1548219,210523892,16.65,    0.13,2,3.0,det,0.2967,0.0975,0.0095,1,N,corr,    0.2967,    0.2666,0.008919,Y,N,1,18.531172,16.303532,16.65,999999,21.77877577899813,0.14651080175203712,14.924991,0.2967
22,  128,     ,04 04 12.8,+18 59 44.5,04041279+1859445,210742592,15.29,    0.18,0,3.0,det,0.8037,0.3163,0.0086,0,N,corr,    0.8037,    0.3427,0.002513,Y,N,0,16.853493,15.069968,15.294,999999,18.721315967172078,0.10673722665471291,13.785378,0.8037
23,  133,19082,04 05 25.6,+19 26 32.0,04052565+1926316,210771915,10.9,    0.94,1,4.0,raw,13.914,0.5326,0.0094,0,N,corr,   13.8499,    0.6036,0.004843999999999999,Y,N,1,11.653789,10.833858,10.899,999999,21.14350053934295,0.051652817968369236,9.98305,13.8499
24,  138,     ,04 06 20.6,+19 01 38.9,04062060+1901391,210744677,13.63,    0.22,0,2.5,det,0.4812,0.2485,0.009,1,N,corr,    0.4812,    0.5901,0.0081875,Y,N,0,16.344997,14.523818,13.631,999999,18.724926526539726,0.1037928124846333,13.236041,0.4812
25,  141,     ,04 07 03.2,+20 16 50.9,04070323+2016510,210827030,13.81,    0.16,0,4.0,det,0.5111,0.1617,0.0103,2,M,corr,          ,          ,0.007087,N,N,0,16.574472,14.685039,13.812,999999,30.105010861759727,0.0892102746310542,13.377324,0.0
