#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-01T15:45:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b8ab3ef7096
#INFO	-out.max=unlimited
#INFO	queryParameters=33
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/822/47&tab:{J/ApJ/822/47/table4}&key:source=J/ApJ/822/47/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/822/47/table4
#-order=I
#-out=[RSP2011]
#-out=HIP
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=EPIC
#-out=Kpmag
#-out=Mass
#-out=Bin
#-out=Ap
#-out=lc
#-out=IPer
#-out=IPw
#-out=I99.9
#-out=Q
#-out=mPer
#-out=use
#-out=K2Per
#-out=K2Pw
#-out=Amp
#-out=Ng
#-out=Bl
#-out=Lit
#Simbad=Simbad
#

#RESOURCE=yCat_18220047
#Name: J/ApJ/822/47
#Title: K2 rotation periods for 65 Hyades members (Douglas+, 2016)
#Table	J_ApJ_822_47_table4:
#Name: J/ApJ/822/47/table4
#Title: Rotation periods measured from K2 data
#Column	[RSP2011]	(I5)	? Roser et al. 2011, J/A+A/531/A92, identifier [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HIP	(I5)	? Hipparcos identifier [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	RAJ2000	(A10)	[3/4] Hour of Right Ascension (J2000)	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A11)	[12/26] Degree of Declination (J2000)	[ucd=pos.eq.dec,meta.main]
#Column	2MASS	(A16)	2MASS identifier (HHMMSSss+DDMMSSs, J2000) if any	[ucd=meta.id.cross]
#Column	EPIC	(I9)	EPIC identifier	[ucd=meta.id]
#Column	Kpmag	(F5.2)	[8.7/16.7] Kepler apparent magnitude	[ucd=phot.mag,em.opt]
#Column	Mass	(F8.2)	[0.1/1.2]? Mass	[ucd=phys.mass]
#Column	Bin	(I1)	[0/2]? Binary status code (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Ap	(F4.1)	[2/6.5] Aperture radius (2)	[ucd=phys.size.radius]
#Column	lc	(A3)	Initial light curve for analysis (3)	[ucd=meta.code]
#Column	IPer	(F7.4)	[0.15/39.6] Initial orbital period	[ucd=time.period]
#Column	IPw	(F7.4)	[0.05/0.96] Initial periodogram power	[ucd=stat.fit.param]
#Column	I99.9	(F7.4)	[0.008/0.03] Initial 99.9-percentile of maximum peak	[ucd=stat.fit.param]
#Column	Q	(I1)	[0/2] Quality flag (0=confident detection or 1=residual noise or confusion in the periodogram)	[ucd=meta.code.qual]
#Column	mPer	(A1)	[MNY] Multiple periods in periodogram	[ucd=meta.code]
#Column	use	(A4)	Light curve selected for final analysis (4)	[ucd=meta.code]
#Column	K2Per	(F10.4)	[0.2/49.4]? K2 orbital period	[ucd=time.period]
#Column	K2Pw	(F10.4)	[0.09/0.98]? KS periodogram power	[ucd=stat.fit.param]
#Column	Amp	(F10.7)	[0.001/0.4] Amplitude	[ucd=src.var.amplitude]
#Column	Ng	(A1)	[NY] Denotes presence of a visually-identified neighbor somewhere on chip (5)	[ucd=meta.code]
#Column	Bl	(A1)	[MNY] A visually-identified neighbor is blended with the target on the chip (5)	[ucd=meta.code]
#Column	Lit	(I3)	Display the literature data for this star (table 2) [NULL integer written as an empty string]	[ucd=meta.ref.url]
 # , ,"h:m:s","d:m:s", , ,mag,Msun, ,pix, ,d, , , , , ,d, , , , ,
[RSP2011],HIP,RAJ2000,DEJ2000,2MASS,EPIC,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit
   64,     ,03 34 10.5,+22 04 21.2,03341053+2204213,210942999,13.68,    0.17,2, 4.0,det, 1.8088, 0.6747, 0.0094,0,N,corr,    1.8088,    0.8608, 0.0082635,Y,N,  1
     ,     ,03 40 45.8,+17 34 47.7,03404581+1734477,210643507,16.64,    0.13,0, 3.0,det,22.2675, 0.0867, 0.0091,2,N,corr,          ,          , 0.0202895,N,N,  0
   75,     ,03 42 04.4,+16 25 18.3,03420441+1625183,210563410,15.13,    0.18,0, 2.0,det,21.4717, 0.0960, 0.0083,2,N,corr,          ,          , 0.1586375,Y,Y,  0
   78,     ,03 43 47.0,+20 51 36.4,03434706+2051363,210865372,13.38,    0.32,0, 2.5,det,12.3675, 0.5442, 0.0091,0,N,corr,   12.3168,    0.6320, 0.0145810,Y,N,  0
   80,     ,03 46 59.5,+15 24 16.8,03465952+1524170,210499476,14.16,    0.18,2, 4.0,det, 0.8584, 0.7303, 0.0098,0,N,corr,    0.8584,    0.7517, 0.0058145,N,N,  1
   82,     ,03 49 43.2,+24 19 04.6,03494325+2419046,211084463,14.99,    0.38,0, 3.0,det,22.1036, 0.0723, 0.0096,2,N,corr,          ,          , 0.0917035,Y,Y,  0
   85,18018,03 51 03.0,+23 54 13.5,03510309+2354134,211058178, 9.78,    0.79,2, 4.5,det,12.5745, 0.5555, 0.0094,0,N,corr,   12.5745,    0.5562, 0.0033690,Y,N,  1
   86,     ,03 52 41.0,+25 48 16.0,03524101+2548159,211169647,10.59,    0.66,0, 6.5,det,14.6609, 0.6264, 0.0100,0,M,corr,   14.6609,    0.6342, 0.0035175,Y,Y,  0
   87,     ,03 52 42.7,+25 12 26.2,03524271+2512260,211137806,15.35,    0.13,0, 3.0,det,14.3802, 0.5712, 0.0102,0,N,corr,   14.3802,    0.7170, 0.0142470,Y,N,  0
   94,18322,03 55 01.3,+12 29 08.2,03550142+1229081,210359769, 9.76,    0.63,0, 3.5,det,22.1036, 0.0502, 0.0111,2,N,corr,          ,          , 0.0160710,Y,M,  0
   98,     ,03 55 36.9,+21 18 48.1,03553690+2118482,210894955,14.59,    0.13,0, 5.0,raw,38.0683, 0.2157, 0.0090,1,N,sec ,    0.7257,    0.0902, 0.0029935,Y,N,  0
   99,     ,03 55 57.1,+18 25 56.2,03555715+1825564,210704853,13.11,    0.37,0, 5.0,det,22.7739, 0.5660, 0.0091,1,Y,corr,   23.1244,    0.6160, 0.0063350,N,N,  0
  104,     ,03 58 14.3,+12 37 40.8,03581434+1237408,210365286,14.10,    0.17,0, 5.0,det, 0.8686, 0.2837, 0.0096,0,N,corr,    0.8686,    0.3102, 0.0028255,Y,Y,  0
  106,     ,03 58 35.8,+13 06 18.1,03583581+1306182,210384590, 9.17,    1.17,1, 5.0,det,22.4337, 0.0813, 0.0103,2,N,corr,          ,          , 0.0501520,Y,N,  0
  108,     ,03 59 09.7,+26 28 33.9,03590972+2628340,211201094,10.91,    0.63,0, 6.5,det,15.1794, 0.4931, 0.0100,0,N,corr,   15.2565,    0.8545, 0.0062860,Y,Y,  0
  109,     ,03 59 14.1,+22 02 37.8,03591417+2202380,210941195,13.36,    0.46,0, 4.5,det,20.5888, 0.3876, 0.0092,1,M,corr,   20.7309,    0.6087, 0.0019730,Y,N,  0
  111,     ,03 59 15.0,+16 39 51.9,03591499+1639520,210579563,14.52,    0.20,0, 3.5,det, 1.2774, 0.7753, 0.0091,0,N,corr,    1.2774,    0.7883, 0.0053360,Y,N,  0
  113,     ,03 59 26.6,+23 23 07.6,03592659+2323077,211026112,13.80,    0.19,0, 5.0,det, 1.3183, 0.6280, 0.0096,0,N,corr,    1.3183,    0.6633, 0.0045545,N,N,  0
  115,     ,03 59 51.8,+22 36 13.4,03595180+2236135,210976212,14.41,    0.28,0, 3.0,det,22.2675, 0.1162, 0.0086,2,N,corr,          ,          , 0.0026945,N,N,  0
  116,     ,04 00 15.5,+19 24 36.5,04001556+1924367,210769813,13.91,    0.20,0, 4.0,det, 1.8626, 0.8970, 0.0090,0,N,corr,    1.8626,    0.9168, 0.0099520,N,N,  0
  117,     ,04 00 44.9,+13 54 22.8,04004493+1354227,210419589,13.49,    0.38,2, 5.0,det, 2.6612, 0.5286, 0.0101,0,Y,corr,    2.6612,    0.5400, 0.0200325,N,N,  1
  125,18946,04 03 38.9,+19 27 18.3,04033902+1927180,210772796, 9.87,    0.76,2, 6.0,raw,11.6032, 0.8092, 0.0096,0,N,corr,   11.6032,    0.8105, 0.0058965,Y,Y,  1
  127,     ,04 04 10.7,+15 48 21.8,04041073+1548219,210523892,16.65,    0.13,2, 3.0,det, 0.2967, 0.0975, 0.0095,1,N,corr,    0.2967,    0.2666, 0.0089190,Y,N,  1
  128,     ,04 04 12.8,+18 59 44.5,04041279+1859445,210742592,15.29,    0.18,0, 3.0,det, 0.8037, 0.3163, 0.0086,0,N,corr,    0.8037,    0.3427, 0.0025130,Y,N,  0
  129,     ,04 04 27.0,+20 24 30.4,04042701+2024303,210835395,15.16,    0.22,2, 4.0,det, 0.2495, 0.5455, 0.0095,2,M,corr,          ,          , 0.0054735,Y,N,  1
  133,19082,04 05 25.6,+19 26 32.0,04052565+1926316,210771915,10.90,    0.94,1, 4.0,raw,13.9140, 0.5326, 0.0094,0,N,corr,   13.8499,    0.6036, 0.0048440,Y,N,  1
  138,     ,04 06 20.6,+19 01 38.9,04062060+1901391,210744677,13.63,    0.22,0, 2.5,det, 0.4812, 0.2485, 0.0090,1,N,corr,    0.4812,    0.5901, 0.0081875,Y,N,  0
  141,     ,04 07 03.2,+20 16 50.9,04070323+2016510,210827030,13.81,    0.16,0, 4.0,det, 0.5111, 0.1617, 0.0103,2,M,corr,          ,          , 0.0070870,N,N,  0
  148,     ,04 08 36.2,+23 46 07.0,04083620+2346071,211049709,10.27,    0.90,0, 6.0,det, 9.3908, 0.9522, 0.0102,0,N,corr,    9.3908,    0.9553, 0.0099945,Y,Y,  0
  149,     ,04 08 40.1,+23 33 25.6,04084015+2333257,211036776,12.80,    0.59,2, 4.5,raw,21.0210, 0.8941, 0.0087,0,N,corr,   21.0210,    0.8984, 0.0090570,Y,Y,  1
     ,     ,04 11 06.4,+12 47 48.2,04110642+1247481,210371851,14.92,    0.14,0, 5.0,raw,37.5920, 0.1587, 0.0089,1,Y,sec ,    0.8968,    0.1551, 0.0065500,N,N,  0
  161,19591,04 11 56.1,+23 38 11.2,04115620+2338108,211041649, 9.25,    1.04,2, 5.5,det, 2.3094, 0.2888, 0.0104,0,N,corr,    2.3094,    0.5904, 0.0242900,Y,Y,  1
  166,     ,04 12 47.3,+22 23 27.0,04124734+2223270,210963067,14.72,    0.24,0, 2.0,det, 1.8443, 0.2541, 0.0095,0,N,corr,    1.8443,    0.5698, 0.0087525,Y,M,  0
  169,     ,04 13 05.6,+15 14 52.0,04130560+1514520,210490365,14.53,    0.20,2, 3.0,det,22.7739, 0.0598, 0.0101,1,N,sec ,    1.8884,    0.0981, 0.0072505,Y,N,  1
  170,     ,04 13 52.3,+15 21 54.0,04135234+1521538,210497173,13.69,    0.28,2, 5.5,det, 1.8489, 0.6862, 0.0081,0,Y,corr,    1.8489,    0.6944, 0.0049195,Y,Y,  1
  180,     ,04 14 50.2,+24 22 37.4,04145019+2422375,211088189,16.02,    0.16,0, 2.0,raw,28.9101, 0.0640, 0.0112,2,N,corr,          ,          , 0.3876735,Y,M,  0
  186,19862,04 15 33.6,+15 42 22.7,04153367+1542226,210517837,10.46,    0.65,2, 5.0,raw,39.5726, 0.3406, 0.0096,2,N,corr,          ,          , 0.0020060,N,N,  0
  197,     ,04 16 25.4,+14 10 17.1,04162538+1410172,210432080,14.09,    0.21,2, 3.5,det, 2.9001, 0.0616, 0.0092,1,M,sec ,    1.4486,    0.2788, 0.0058450,Y,N,  1
     ,19981,04 17 06.8,+22 40 24.3,04170685+2240241,210980637, 9.45,        ,2, 5.0,raw,39.5726, 0.5849, 0.0096,0,N,corr,   49.3166,    0.9767, 0.0028350,Y,Y,  0
