,Av,Av_err,age,age_err,d_kpc,dkpc_err,feh,feh_err,mass,mass_err,BV,B,V,logg,teff,jmag,hmag,kmag,parallax,prot
1,0.7796501198941583,0.01,9.570129301524723,1.9140258603049447,0.5878704736374618,0.05878704736374618,-0.05873579203695481,0.01,0.8247450337516644,0.1,1.0498092797383052,16.659340709241693,15.609531429503388,4.5776505209129565,5147.928119227298,13.567703645546652,13.021653492007447,12.92542310168565,1.701054985484264,31.391725863423403
5,0.7982482847040694,0.01,9.053351170153425,1.810670234030685,0.559554448946247,0.0559554448946247,0.13984774712775566,0.01,0.9478361292810338,0.1,1.002954767023338,16.04413170811333,15.041176941089992,4.550427610210399,5371.751801317536,13.115698243324545,12.62395682177614,12.533516589429636,1.7871361792997986,15.908781349013934
13,0.8550205985359801,0.01,9.191482809340618,1.8382965618681237,0.11632117404510539,0.01163211740451054,-0.06219620527245859,0.01,0.7706372720457879,0.1,1.1949805978126253,13.990099211000553,12.795118613187928,4.62628365365207,4816.992554014296,10.459666582209481,9.818765585119923,9.703980788431336,8.59688709479698,20.784542753109722
15,0.13693040608517737,0.01,9.64185861073246,1.928371722146492,0.4679681440115628,0.04679681440115628,0.15978953549689207,0.01,0.9207319379972483,0.1,0.8156120084619776,14.782358171785676,13.966746163323698,4.519434758864837,5344.050928589052,12.52220846442925,12.093549412353655,12.036699152389856,2.1368975918482422,29.486183724053582
16,0.5647024999960782,0.01,9.386460108426128,1.8772920216852258,0.9060252549628411,0.09060252549628411,0.10227571303436889,0.01,0.7041102156844415,0.1,1.3249197776993995,19.099258126375958,17.774338348676558,4.643059327684726,4383.142769461694,15.245619459486187,14.51569100484151,14.386894495011937,1.1037219928720563,27.965539596738093
17,0.5884737864826339,0.01,9.953399241718456,1.9906798483436914,0.7920571716728696,0.07920571716728697,0.026012659640568536,0.01,0.7124985686658312,0.1,1.2307116475872029,18.323109293564173,17.09239764597697,4.604528799127042,4563.54118552029,14.736656231637173,14.050147239459005,13.935024688814712,1.262535124690486,55.347967656668395
19,0.9906738947924955,0.01,9.786729055477581,1.9573458110955162,0.5718648389012723,0.05718648389012723,0.0870556052714897,0.01,0.5167563706289311,0.1,1.6991761359056419,20.874259679029194,19.175083543123552,4.780565005892576,3751.4499263303705,15.556160862512264,14.780192974941272,14.540251582013756,1.7486649501328089,51.84588740000916
20,0.9193781866976302,0.01,9.166384711570187,1.8332769423140374,0.3150309292409039,0.03150309292409039,0.05132579315545033,0.01,0.793272394698352,0.1,1.2399945346824648,16.231894115247265,14.9918995805648,4.6145038030723695,4789.043075918022,12.582358419878386,11.929563684887892,11.80942322166708,3.17429149705901,20.503832700283862
21,0.46727030907006484,0.01,9.384761098397862,1.8769522196795725,0.04077842331902419,0.0040778423319024195,0.11006225656456459,0.01,0.7471536794551019,0.1,1.2333965248020142,11.864913769867574,10.63151724506556,4.629460060620165,4516.89661446371,8.311222402998194,7.625785364300124,7.512652657025791,24.522772549998866,26.96577484882431
25,0.2880805233224084,0.01,10.127893585897327,2.0255787171794655,0.811326196272051,0.08113261962720511,-0.04539333393497422,0.01,0.8228874535741367,0.1,0.823358535797631,16.028579103773115,15.205220567975484,4.427544961407287,5365.6160828410375,13.662778242094904,13.215960588438959,13.15397989855256,1.2325498727822213,54.92379655959737
30,0.2465717147024602,0.01,9.99505680594183,1.9990113611883662,0.30009719198812745,0.030009719198812748,0.04452130041140051,0.01,0.6370143029056412,0.1,1.3107240369916422,16.809282897497997,15.498558860506355,4.647684301072274,4206.2518881896285,13.023967304430059,12.296623697794043,12.165905885246021,3.332253772103147,60.13801005371868
32,0.02480276486223265,0.01,8.99042573566126,1.798085147132252,0.5647130949288749,0.05647130949288749,-0.013961712505856816,0.01,1.0287032706094927,0.1,0.5954367664445606,14.202982988254316,13.607546221809756,4.495412228015836,5869.851373717906,12.5116050908903,12.186546114915263,12.153807238930128,1.7708107160609567,9.710087670451369
33,0.5403012448618562,0.01,9.968389063052973,1.9936778126105947,0.2639411709347532,0.026394117093475323,0.06973310070040695,0.01,0.8664670211420844,0.1,0.9319766391000623,14.062463835096521,13.130487195996459,4.475843089280046,5313.421213942191,11.367710304702353,10.887162242213986,10.809257740048052,3.7887230569542405,48.57491312887698
