#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-25T14:21:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5baa444f4eda
#INFO	-out.max=unlimited
#INFO	queryParameters=20
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/733/L9&tab:{J/ApJ/733/L9/table1}&key:source=J/ApJ/733/L9&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/733/L9/table1
#-order=I
#-out=KIC
#-out=RAJ2000
#-out=DEJ2000
#-out=gmag
#-out=rmag
#-out=Per
#-out=e_Per
#-out=o_Per
#-out=Mm
#-out=Simbad
#Simbad=Simbad
#

#RESOURCE=yCat_17339009
#Name: J/ApJ/733/L9
#Title: Stellar rotation for 71 NGC 6811 members (Meibom+, 2011)
#Table	J_ApJ_733_L9_table1:
#Name: J/ApJ/733/L9/table1
#Title: Data for the 71 members of NGC 6811 with measured rotation periods
#Column	KIC	(I7)	[9410241/9957187] Kepler identification number (1)	[ucd=meta.id,meta.main]
#Column	RAJ2000	(A11)	[19] Hour of Right Ascension (J2000)	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A11)	[45/46] Degree of Declination (J2000)	[ucd=pos.eq.dec,meta.main]
#Column	gmag	(F5.2)	[13.22/17.38] g-band magnitude (SDSS system, from Cat. V/133)	[ucd=phot.mag,em.opt.B]
#Column	rmag	(F5.2)	[12.95/16.55] r-band magnitude (SDSS system, from Cat. V/133)	[ucd=phot.mag,em.opt.R]
#Column	Per	(F5.2)	[0.92/16.4] Rotation period	[ucd=time.period]
#Column	e_Per	(F5.2)	rms error ({sigma}) in Per	[ucd=stat.error]
#Column	o_Per	(I1)	[2/7] Number of Per measurements over Q1-Q4	[ucd=meta.number]
#Column	Mm	(A3)	[CM/CSM/SM] Radial-velocity membership class (2)	[ucd=src]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
 ,"h:m:s","d:m:s",mag,mag,d,d, , ,
-------,-----------,-----------,-----,-----,-----,-----,-,---,------
KIC,RAJ2000,DEJ2000,gmag,rmag,Per,e_Per,o_Per,Mm,Simbad
9715923,19 36 39.33,+46 27 01.8,13.62,13.36, 0.92, 0.01,5,CSM,Simbad
9594100,19 36 55.98,+46 15 18.5,13.22,12.95, 0.96, 0.01,6,CSM,Simbad
9716563,19 37 38.57,+46 29 12.7,13.92,13.57, 1.29, 0.21,4,SM ,Simbad
9716817,19 37 59.91,+46 24 44.7,14.55,14.14, 1.36, 0.01,4,SM ,Simbad
9654924,19 36 41.17,+46 23 09.5,13.94,13.65, 1.60, 0.22,4,CSM,Simbad
9655730,19 37 47.37,+46 18 46.1,14.28,13.92, 2.03, 0.06,5,CSM,Simbad
9716076,19 36 54.68,+46 25 03.6,13.78,13.50, 2.50, 0.01,4,CSM,Simbad
9469799,19 35 13.28,+46 03 43.5,14.86,14.29, 2.53, 0.09,4,CSM,Simbad
9775854,19 36 08.60,+46 30 43.2,14.66,14.26, 4.35, 0.13,3,SM ,Simbad
9656480,19 38 58.57,+46 21 54.2,14.68,14.31, 4.82, 0.09,6,CSM,Simbad
9716401,19 37 22.76,+46 28 09.8,15.01,14.58, 5.73, 0.49,3,SM ,Simbad
9471344,19 37 23.68,+46 03 58.1,14.92,14.52, 6.33, 0.24,5,CSM,Simbad
9410241,19 37 06.79,+45 58 18.8,15.08,14.67, 7.17, 0.13,4,CSM,Simbad
9777258,19 38 08.73,+46 32 38.1,15.12,14.69, 8.37, 0.15,2,SM ,Simbad
9655917,19 38 02.42,+46 22 27.2,15.31,14.88, 8.80, 0.17,4,CSM,Simbad
9776475,19 37 00.20,+46 32 27.7,15.26,14.83, 8.85, 0.11,2,SM ,Simbad
9778187,19 39 31.11,+46 32 37.6,15.18,14.77, 9.04, 0.17,3,CSM,Simbad
9656165,19 38 26.34,+46 21 06.4,15.36,14.90, 9.27, 0.60,4,CSM,Simbad
9716112,19 36 57.22,+46 25 58.3,15.27,14.76, 9.56, 0.14,3,SM ,Simbad
9470987,19 36 54.48,+46 05 44.7,15.64,15.13, 9.62, 0.36,4,CSM,Simbad
9594287,19 37 11.37,+46 12 27.6,15.38,14.90, 9.62, 0.24,4,CSM,Simbad
9716502,19 37 32.52,+46 24 03.1,15.44,14.99, 9.72, 0.22,6,SM ,Simbad
9655310,19 37 14.23,+46 20 17.4,14.44,14.01, 9.78, 0.39,3,SM ,Simbad
9534045,19 39 33.27,+46 11 29.5,15.32,14.86, 9.86, 0.34,4,CM ,Simbad
9471038,19 36 59.18,+46 05 54.7,16.16,15.45, 9.90, 0.28,2,CSM,Simbad
9532127,19 36 43.69,+46 09 13.1,15.54,15.05, 9.95, 0.25,4,SM ,Simbad
9594099,19 36 55.92,+46 16 41.8,16.84,16.11, 9.98, 0.66,4,CSM,Simbad
9655677,19 37 43.86,+46 19 12.9,16.86,16.15,10.04, 0.30,3,CSM,Simbad
9716008,19 36 48.24,+46 28 36.4,15.42,14.94,10.04, 0.36,5,CSM,Simbad
9655276,19 37 11.29,+46 20 49.2,15.51,15.01,10.23, 0.57,4,CSM,Simbad
9715987,19 36 45.33,+46 27 15.7,15.65,15.12,10.27, 0.58,6,CSM,Simbad
9896700,19 36 52.65,+46 43 24.9,15.65,15.13,10.27, 0.37,6,CSM,Simbad
9836149,19 35 55.57,+46 41 15.9,15.66,15.13,10.29, 0.27,4,CSM,Simbad
9592579,19 34 40.82,+46 17 44.4,15.58,15.05,10.32, 0.35,4,CSM,Simbad
9776546,19 37 05.23,+46 35 08.1,15.57,15.07,10.33, 0.96,4,CSM,Simbad
9837012,19 37 10.42,+46 39 19.3,16.75,16.10,10.37, 0.31,4,CSM,Simbad
9594645,19 37 39.81,+46 15 30.9,15.70,15.17,10.44, 0.28,7,SM ,Simbad
9775381,19 35 24.18,+46 30 22.2,15.78,15.09,10.47, 0.39,3,CSM,Simbad
9593885,19 36 38.47,+46 15 25.4,15.74,15.18,10.49, 0.42,5,CSM,Simbad
9654919,19 36 40.78,+46 18 15.5,16.69,15.98,10.59, 0.54,5,CM ,Simbad
9716955,19 38 12.46,+46 25 28.6,16.13,15.60,10.64, 0.58,4,CSM,Simbad
9654970,19 36 44.91,+46 22 27.0,16.75,16.05,10.67, 0.32,5,CSM,Simbad
9716378,19 37 21.17,+46 28 49.5,16.60,15.95,10.73, 0.35,3,CSM,Simbad
9776916,19 37 38.38,+46 31 43.0,16.80,16.10,10.74, 0.89,2,CSM,Simbad
