kepid,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
892376,3813,4.47,0.4699,1.532,0.007,7306.69,0.823,0.4503,0,---
1026146,4261,4.57,0.6472,14.891,0.12,11742.56,1.405,0.7229,0,---
1026474,4122,4.56,0.5914,1.569,0.006,30471.8,1.204,0.6061,0,---
1162635,3760,4.77,0.4497,15.678,0.019,10207.47,0.978,0.5445,1,---
1164102,4045,4.62,0.5606,31.496,0.474,5139.74,0.568,0.3939,0,---
1292688,3774,4.74,0.455,42.659,2.131,6320.15,0.53,0.3172,1,---
1297303,4296,4.61,0.6613,27.333,0.193,6189.53,0.777,0.5124,0,---
1429921,4217,4.72,0.6295,23.131,0.11,15370.91,0.943,0.5839,0,---
1430349,4285,4.54,0.6569,34.717,0.752,3244.49,0.376,0.2563,0,---
1430893,3925,4.72,0.5133,17.045,0.026,13583.24,1.429,0.7204,1,---
1431060,4195,4.71,0.6206,39.682,0.849,4701.32,0.458,0.2904,0,---
1431116,4341,4.61,0.6795,38.757,1.038,5648.64,0.696,0.402,0,---
1432700,4305,4.6,0.665,31.733,0.263,5284.55,0.619,0.4368,0,---
1432745,4354,4.59,0.6848,22.189,0.219,17414.45,1.308,0.6561,0,---
1435229,4050,4.52,0.5626,23.469,0.027,4784.67,0.916,0.5656,0,---
1569682,3857,4.74,0.4869,17.354,0.222,4018.49,0.522,0.2989,1,---
1569863,3589,4.91,0.3862,13.321,0.369,30052.33,1.576,0.7713,1,---
1570915,4055,4.56,0.5646,12.315,0.163,9095.55,1.228,0.6547,0,---
1571364,4404,4.6,0.705,20.449,0.132,7352.71,1.021,0.6093,0,---
1572802,3878,4.73,0.495,0.374,0.004,70335.54,1.35,0.6488,1,---
1573478,4233,4.55,0.6359,18.018,0.24,9514.27,0.988,0.5708,0,---
1577265,3898,4.7,0.5028,15.153,0.123,10275.54,0.933,0.5224,1,---
1718071,3857,4.77,0.4869,21.712,0.202,5137.03,0.555,0.3301,1,---
1721911,3705,4.81,0.429,29.62,0.124,4048.94,0.978,0.5906,1,---
1722506,4270,4.43,0.6509,10.653,0.073,32481.25,1.633,0.747,0,---
1849590,4070,4.4,0.5706,16.197,0.121,10345.22,1.353,0.7215,0,---
1865663,4230,4.82,0.6347,31.319,0.016,9731.26,0.789,0.4965,0,---
1866535,3754,4.79,0.4474,24.925,0.378,3210.84,0.565,0.3473,1,---
1866924,4117,4.58,0.5894,27.24,0.277,7349.79,0.839,0.5531,0,---
1866986,3832,4.52,0.4772,37.348,0.182,8532.76,0.942,0.5146,0,---
1867358,3625,4.82,0.3993,32.879,0.735,4835.13,0.448,0.297,1,---
1868579,4069,4.67,0.5702,38.173,0.377,5494.77,0.535,0.3431,0,---
1870952,3888,4.73,0.4989,24.278,0.273,8661.33,1.033,0.6339,1,---
1871120,4011,4.72,0.5472,37.851,0.463,5451.74,1.004,0.5253,0,---
1872885,3688,4.32,0.4226,1.872,0.003,60773.37,1.512,0.7115,0,---
1873523,3934,4.72,0.5169,20.429,0.441,6629.11,0.989,0.5791,1,---
1873543,3702,4.52,0.4279,11.548,0.112,12257.75,0.953,0.5216,0,---
1996574,4132,4.59,0.5954,20.48,0.225,3632.31,0.449,0.2564,0,---
2010738,4067,4.55,0.5694,26.741,0.105,9747.68,1.023,0.5969,0,---
2012731,3471,4.98,0.3441,36.258,0.238,9061.6,0.804,0.5086,1,---
2013627,4084,4.57,0.5762,13.96,0.328,4507.06,1.214,0.6601,0,---
2013754,4280,4.57,0.6549,4.9,0.003,14074.56,1.529,0.7527,0,---
2014203,4202,4.57,0.6235,10.796,0.237,17550.83,1.467,0.7634,0,---
2015703,4313,4.63,0.6682,22.448,0.052,12041.84,0.993,0.6111,0,---
2015767,4078,4.53,0.5738,18.502,0.208,6944.72,0.772,0.4547,0,---
2016979,4368,4.69,0.6904,17.253,0.236,7871.45,0.782,0.45,0,SM1
2017692,4250,4.62,0.6428,11.431,0.114,22345.13,1.37,0.726,0,---
2018383,4267,4.46,0.6496,30.372,0.588,6466.69,0.567,0.3824,0,---
2020185,4289,4.65,0.6585,21.537,0.1,14884.95,1.117,0.6499,0,---
2020638,4337,4.7,0.6779,18.35,0.058,9859.5,0.78,0.4541,0,---
2140909,4139,4.8,0.5982,38.622,0.379,5515.64,0.643,0.3873,0,---
2142372,3705,4.81,0.429,18.641,0.02,7038.35,0.834,0.4834,1,---
2142451,3482,4.86,0.348,33.671,0.692,4652.62,0.431,0.2836,1,---
2156061,4085,4.45,0.5766,30.03,1.253,6833.05,0.801,0.5163,0,---
2156718,4176,4.51,0.613,21.665,0.349,5622.15,0.536,0.3181,0,---
2157356,3650,4.87,0.4085,13.607,0.046,16120.61,1.43,0.7363,1,---
2160105,4352,4.66,0.684,17.089,0.93,10373.06,1.25,0.7004,0,---
2161569,4303,4.48,0.6642,21.366,0.083,6616.18,0.865,0.5207,0,---
2162907,3830,4.74,0.4765,26.5,0.104,8300.13,0.991,0.6096,1,SM1
2163101,4112,4.64,0.5874,25.637,0.133,10294.08,1.146,0.6238,0,---
2163610,3913,4.71,0.5086,42.246,0.189,6033.87,0.439,0.2603,1,---
2163634,4371,4.41,0.6916,30.462,0.338,3745.7,0.723,0.4861,0,---
2167693,3766,4.76,0.452,17.575,0.079,6583.63,0.923,0.5253,1,---
2282712,3451,4.92,0.3372,20.167,0.35,13719.32,1.508,0.7441,1,---
2282944,4312,4.55,0.6678,32.307,0.497,5044.58,0.533,0.3713,0,---
2285598,3951,4.49,0.5235,37.057,0.362,3207.33,0.759,0.4478,0,---
2300039,3402,4.91,0.3203,1.712,0.006,11605.98,1.184,0.5979,1,---
2300440,4302,4.6,0.6638,21.326,0.081,9261.61,1.043,0.6313,0,---
2301872,3968,4.42,0.5302,22.888,0.056,1749.22,0.734,0.449,0,---
2302851,3984,4.47,0.5365,12.217,0.032,11818.05,1.183,0.6298,0,---
2302997,3933,4.73,0.5165,25.602,0.14,13484.9,0.997,0.6112,1,---
2305760,4248,4.69,0.642,19.57,1.41,4208.39,0.694,0.4102,0,---
2309152,3938,4.72,0.5184,31.901,0.317,5630.91,0.62,0.4347,1,---
