name,ra,dec,teff,logg
V_106,03 58 35.4,+13 06 23,5653.7,4.50
V_114,03 59 40.3,+10 19 53,6392.0,4.11
V_125,04 03 39.3,+19 27 15,4773.8,4.49
V_134,04 05 39.5,+17 56 18,5140.6,4.49
V_137,04 06 15.7,+15 41 56,6013.5,4.48
V_143,04 07 41.9,+15 09 53,6665.1,4.15
V_144,04 07 42.9,+16 31 08,4839.5,4.49
V_146,04 08 18.3,+13 31 28,5051.4,4.51
V_148,04 08 36.3,+23 46 15,5091.8,4.49
V_155,04 10 42.9,+18 25 20,6501.2,4.19
V_161,04 11 55.9,+23 38 23,4768.3,4.01
V_172,04 14 25.6,+14 37 36,5711.4,4.53
V_176,04 14 30.7,+22 27 08,6447.1,4.35
V_189,04 15 42.6,+20 49 10,6484.2,5.56
V_198,04 16 33.8,+21 54 25,5344.8,4.49
V_205,04 17 38.7,+16 57 00,5470.0,4.37
V_211,04 18 01.9,+18 15 26,6237.1,4.83
V_214,04 18 10.9,+23 17 09,5224.7,4.56
V_217,04 18 22.3,+17 25 15,4696.6,4.44
V_225,04 18 57.8,+19 54 26,5527.3,4.48
V_227,04 19 08.3,+17 31 24,5621.6,4.49
V_233,04 20 12.7,+19 14 03,6154.3,4.43
V_244,04 21 32.1,+21 02 25,6484.3,4.50
V_245,04 21 31.8,+18 25 06,6469.2,4.32
V_267,04 23 22.5,+19 39 33,5191.9,4.57
V_300,04 24 56.8,+19 02 38,5608.8,2.67
V_347,04 27 58.6,+18 30 06,4783.4,4.51
V_420,04 32 50.1,+16 00 21,5249.1,4.54
V_421,04 32 59.5,+15 49 08,5540.2,4.53
V_429,04 33 37.7,+16 45 50,5159.9,4.49
V_432,04 33 46.6,+13 15 07,6570.0,4.40
V_436,04 33 58.5,+15 09 49,5239.3,4.41
V_438,04 34 11.1,+11 33 29,4335.6,4.71
V_439,04 34 32.1,+15 49 45,5075.3,4.47
V_440,04 34 35.4,+15 30 14,5937.6,4.49
V_455,04 36 05.4,+15 41 02,5215.8,4.52
V_460,04 36 41.0,+15 52 06,6507.7,4.38
V_468,04 37 32.0,+15 08 46,6033.0,4.41
V_494,04 40 25.7,+16 30 55,4864.7,4.68
V_502,04 41 20.2,+33 31 22,5498.8,4.49
V_514,04 43 16.1,+17 04 13,4883.9,4.46
V_530,04 46 30.5,+15 28 16,5786.7,4.48
V_533,04 46 50.0,+17 44 50,4962.4,4.47
V_537,04 47 06.5,+15 43 39,5119.3,4.54
V_538,04 47 09.3,+20 52 55,4783.9,4.44
V_558,04 48 42.3,+21 06 05,5252.4,4.49
V_561,04 49 03.4,+18 38 29,5272.7,4.47
V_564,04 49 12.6,+24 47 52,4854.8,4.18
V_566,04 49 32.1,+15 53 19,6065.0,4.40
V_573,04 50 24.0,+17 12 06,6208.6,4.57
V_574,04 50 33.6,+15 05 00,5594.3,4.49
V_576,04 50 48.6,+16 12 36,6297.1,4.30
V_582,04 51 23.3,+15 25 54,6235.1,4.38
V_585,04 51 49.9,+13 39 06,6228.5,4.27
V_587,04 52 23.0,+18 59 55,4742.9,4.42
V_608,04 57 49.6,+13 59 58,5546.3,4.47
V_610,04 58 12.1,+40 03 17,6273.6,4.25
V_618,04 59 44.5,+15 54 55,6413.0,4.27
V_619,04 59 49.3,+19 58 04,5323.5,4.11
V_626,05 01 21.8,+29 55 38,5217.7,4.57
V_629,05 01 37.5,+12 24 53,4168.2,3.84
V_635,05 03 07.8,+13 43 40,5495.9,4.49
V_640,05 05 40.4,+06 27 55,5049.9,4.51
V_641,05 06 18.4,+17 48 57,5583.5,4.50
V_646,05 09 02.9,+12 57 52,5125.1,4.49
V_651,05 09 44.9,+28 01 39,5563.7,4.52
V_660,05 11 55.8,+05 43 05,4954.8,4.44
V_676,05 20 25.8,+11 36 48,5499.0,4.48
V_688,05 27 11.3,+11 31 47,5990.1,4.42
V_693,05 32 29.7,+02 38 58,6402.9,4.19
V_700,05 38 18.7,+32 55 38,4950.3,3.60
V_710,05 50 54.2,+06 09 28,4940.0,3.36
HD 13382,02 11 23.1,+21 22 38,5786.8,4.49
HD 18632,03 00 02.8,+07 45 00,5051.4,4.48
HD 20439,03 17 32.8,+07 41 25,5959.3,4.46
HD 21847,03 32 39.9,+35 39 33,6281.6,4.28
HD 26736,04 14 32.3,+23 34 30,5830.7,4.48
HD 27732,04 23 22.3,+21 22 45,5498.4,4.49
HD 27859,04 24 28.3,+16 53 10,6013.2,4.47
HD 28099,04 26 40.1,+16 44 49,5804.7,4.50
HD 28237,04 27 46.1,+11 44 11,6140.9,4.43
HD 29461,04 38 57.3,+14 06 20,5828.7,4.47
