#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-09-13T21:38:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9ad8a317a66
#INFO	-out.max=unlimited
#INFO	queryParameters=33
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/141/166&tab:{J/AJ/141/166/vars}&key:source=J/AJ/141/166/vars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/141/166/vars
#-order=I
#-out=HAT
#-out=n_HAT
#-out=pmRA
#-out=pmDE
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=Vmag
#-out=r_Vmag
#-out=Pe
#-out=dR.e1
#-out=dR.e2
#-out=Qe
#-out=Pt
#-out=dR.t1
#-out=dR.t2
#-out=Qt
#-out=N
#-out=2M
#2M=2M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_51410166
#Name: J/AJ/141/166
#Title: HATNet variability survey of K and M dwarfs (Hartman+, 2011)
#Table	J_AJ_141_166_vars:
#Name: J/AJ/141/166/vars
#Title: Catalog of periodic variables (table6)
#Column	HAT	(A11)	HAT designation (FFF-NNNNNNN)	[ucd=meta.id,meta.main]
#Column	n_HAT	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	pmRA	(F8.2)	PPMX Proper motion in Right Ascension	[ucd=pos.pm,pos.eq.ra]
#Column	pmDE	(F8.2)	PPMX Proper motion in Declination	[ucd=pos.pm,pos.eq.dec]
#Column	Jmag	(F7.3)	2MASS J apparent magnitude	[ucd=phot.mag,em.IR.J]
#Column	Hmag	(F7.3)	2MASS H apparent magnitude	[ucd=phot.mag,em.IR.H]
#Column	Kmag	(F7.3)	2MASS Ks apparent magnitude	[ucd=phot.mag,em.IR.K]
#Column	Vmag	(F7.3)	Magnitude (apparent) in V filter	[ucd=phot.mag,em.opt.V]
#Column	r_Vmag	(I1)	[0/2] Source for Vmag (G1)	[ucd=meta.ref,pos.frame]
#Column	Pe	(F10.6)	? Period from AH applied to the EPD light curves (1)	[ucd=time.period]
#Column	dR.e1	(F6.3)	? R Amplitude of EPD lc phased at Pe (2)	[ucd=phot.mag,em.opt.R]
#Column	dR.e2	(F6.3)	? R Amplitude of TFA lc phased at Pe (2)	[ucd=phot.mag,em.opt.R]
#Column	Qe	(I1)	[0/2] Quality flag for AH/EPD (3)	[ucd=meta.code.qual]
#Column	Pt	(F10.6)	? Period from AH applied to the TFA light curves (1)	[ucd=time.period]
#Column	dR.t1	(F6.3)	? R Amplitude of EPD lc phased at Pt (2)	[ucd=phot.mag,em.opt.R]
#Column	dR.t2	(F6.3)	? R Amplitude of TFA lc phased at Pt (2)	[ucd=phot.mag,em.opt.R]
#Column	Qt	(I1)	[0/2] Quality flag for AH/TFA, 0=ok (3)	[ucd=meta.code.qual]
#Column	N	(I2)	Number of other 2MASS sources within 30" of the source	[ucd=meta.number]
#Column	2M	(A2)	Display details of the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A11)	2MASS Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A11)	2MASS Declination J2000	[ucd=pos.eq.dec,meta.main]
# , ,mas/yr,mas/yr,mag,mag,mag,mag, ,d,mag,mag, ,d,mag,mag, , , , ,"h:m:s","d:m:s"
#-----------,-,--------,--------,-------,-------,-------,-------,-,----------,------,------,-,----------,------,------,-,--,--,------,-----------,-----------
HAT,n_HAT,pmRA,pmDE,Jmag,Hmag,Kmag,Vmag,r_Vmag,Pe,dR.e1,dR.e2,Qe,Pt,dR.t1,dR.t2,Qt,N,2M,Simbad,RAJ2000,DEJ2000
086-0001701, ,   35.13,  -36.72,  9.519,  8.763,  8.658, 12.136,1,          ,      ,      ,2, 17.887814, 0.010, 0.005,0, 2,2M,Simbad,00 13 38.42,+52 45 05.0
086-0004017, ,   35.30,   35.51,  9.565,  8.804,  8.643, 12.235,1, 40.868328, 0.014, 0.011,1,          ,      ,      ,2, 2,2M,Simbad,23 54 23.85,+54 41 26.9
086-0005153, ,   76.13,   -7.77,  9.906,  9.239,  9.060, 12.822,1, 16.368924, 0.010, 0.003,0,          ,      ,      ,2, 4,2M,Simbad,23 51 18.20,+54 35 16.2
086-0005542, ,  146.68,  -27.87,  9.980,  9.349,  9.137, 12.767,1, 20.363047, 0.010, 0.009,0, 20.411745, 0.010, 0.009,0, 3,2M,Simbad,00 16 56.01,+50 37 49.0
086-0005602,x,  -83.81,   51.47, 10.008,  9.409,  9.186, 12.870,1,          ,      ,      ,2, 21.071980, 0.016, 0.009,1, 0,2M,Simbad,00 16 01.61,+48 55 56.9
086-0006520, ,   19.41,  -45.99, 10.260,  9.590,  9.478, 12.227,1, 11.462731, 0.024, 0.005,0, 11.503656, 0.024, 0.007,0, 6,2M,Simbad,23 56 16.37,+52 42 34.8
086-0008187, ,  -41.95,   -6.38, 10.462,  9.840,  9.657, 12.791,1,          ,      ,      ,2,  5.358132, 0.029, 0.018,0, 6,2M,Simbad,23 45 32.05,+55 40 58.0
086-0009482, ,   93.81,    2.31, 10.594,  9.933,  9.757, 13.413,1, 13.561425, 0.018, 0.009,0,          ,      ,      ,2, 0,2M,Simbad,00 04 57.67,+49 58 49.1
086-0011792, ,   23.13,  -21.70, 10.861, 10.228, 10.042, 13.191,1, 79.872558, 0.022, 0.002,1,          ,      ,      ,2, 4,2M,Simbad,23 46 30.54,+54 48 56.1
086-0013793, ,   40.15,   14.37, 11.126, 10.514, 10.366, 13.280,1, 11.341684, 0.012, 0.005,0,          ,      ,      ,2, 3,2M,Simbad,23 43 29.95,+51 50 15.8
086-0014043, ,   -9.83,  -29.16, 11.042, 10.351, 10.190, 13.752,1, 41.129168, 0.013, 0.007,1,          ,      ,      ,2, 1,2M,Simbad,23 54 17.26,+54 33 59.9
086-0016785, ,  -32.98,   -1.77, 11.278, 10.639, 10.457, 13.741,1,  9.336866, 0.028, 0.010,0,          ,      ,      ,2,10,2M,Simbad,23 53 28.46,+54 45 40.5
086-0016871, ,  -31.08,   -7.93, 11.286, 10.621, 10.459, 13.739,1, 11.670321, 0.018, 0.010,0,          ,      ,      ,2, 2,2M,Simbad,23 53 30.70,+50 47 59.3
086-0021866, ,   38.83,    3.21, 11.596, 10.903, 10.759, 14.099,1, 15.391511, 0.035, 0.014,0,          ,      ,      ,2, 3,2M,Simbad,23 52 28.99,+49 39 32.2
086-0023547, ,   59.57,  -68.77, 11.749, 11.120, 10.970, 13.185,1,  1.081830, 0.115, 0.043,0,  9.460228, 0.112, 0.088,0, 3,2M,Simbad,23 42 23.75,+49 55 05.8
086-0028413, ,  -37.50,   19.76, 11.845, 11.126, 10.948, 13.242,1,          ,      ,      ,2,  0.194847, 0.013, 0.019,0, 8,2M,Simbad,23 43 10.61,+53 11 22.4
086-0037036, ,   55.78,    0.37, 12.337, 11.756, 11.582, 13.886,1,  1.734070, 0.044, 0.028,0,  1.733837, 0.045, 0.028,0, 3,2M,Simbad,23 47 18.53,+49 07 49.8
086-0038556, ,  -26.75,   52.38, 12.348, 11.671, 11.539, 13.966,1, 39.490857, 0.024,      ,1,          ,      ,      ,2, 6,2M,Simbad,23 54 38.77,+54 29 35.8
086-0395100, ,  -37.77,   29.15,  9.702,  9.054,  8.846, 11.723,1, 14.095363, 0.012, 0.003,0,          ,      ,      ,2, 7,2M,Simbad,23 53 41.51,+54 19 27.6
087-0001119, , -497.50,  -24.90,  8.429,  7.804,  7.616, 11.354,1,          ,      ,      ,2,  7.204801, 0.029, 0.019,0, 3,2M,Simbad,00 37 25.99,+51 33 07.3
