#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-13T21:46:44 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9ada59131d
#INFO	-out.max=unlimited
#INFO	queryParameters=29
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/413/2218&tab:{J/MNRAS/413/2218/hyades}&key:source=J/MNRAS/413/2218/hyades&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/413/2218/hyades
#-order=I
#-out=SWASP
#-out=X
#-out=Per
#-out=J-Ks
#-out=Ksmag
#-out=Vmag
#-out=Dist
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=plx
#-out=Mmb
#-out=SpType
#-out=Vmagl
#-out=B-Vl
#-out=Ref
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74132218
#Name: J/MNRAS/413/2218
#Title: Stellar rotation in Hyades and Praesepe (Delorme+, 2011)
#Table	J_MNRAS_413_2218_hyades:
#Name: J/MNRAS/413/2218/hyades
#Title: Hyades members with SuperWASP rotation periods
#Column	SWASP	(A19)	Swasp designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id,meta.main]
#Column	X	(A3)	[Yes/No ] X-ray activity? (table2 only) (1)	[ucd=meta.code]
#Column	Per	(F6.3)	Rotation (spin) period (2)	[ucd=time.period]
#Column	J-Ks	(F6.3)	2MASS J-Ks colour index	[ucd=phot.color,em.IR.J,em.IR.K]
#Column	Ksmag	(F5.2)	2MASS Ks magnitude	[ucd=phot.mag,em.IR.K]
#Column	Vmag	(F5.2)	? V magnitude	[ucd=phot.mag,em.opt.V]
#Column	Dist	(F4.1)	Distance to the cluster centre	[ucd=pos.angDistance]
#Column	pmRA	(F5.1)	Proper motion along RA	[ucd=pos.pm,pos.eq.ra]
#Column	e_pmRA	(F4.1)	rms uncertainty on pmRA	[ucd=stat.error,pos.pm,pos.eq.ra]
#Column	pmDE	(F5.1)	Proper motion along DE	[ucd=pos.pm,pos.eq.dec]
#Column	e_pmDE	(F4.1)	rms uncertainty on pmDE	[ucd=stat.error,pos.pm,pos.eq.dec]
#Column	plx	(F5.2)	? Parallax (table2 only)	[ucd=pos.parallax.trig]
#Column	Mmb	(F6.3)	Membership probability	[ucd=stat.probability]
#Column	SpType	(A4)	MK spectral type	[ucd=src.spType]
#Column	Vmagl	(F5.2)	? Literature V magnitude	[ucd=phot.mag,em.opt.V]
#Column	B-Vl	(F5.2)	? Literature B-V colour index	[ucd=phot.color,em.opt.B,em.opt.V]
#Column	Ref	(I2)	? Reference for photometry (1) [NULL integer written as an empty string]	[ucd=meta.ref,pos.frame]
#Column	SimbadName	(a22)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SWASP name (right ascension part)	[ucd=pos.eq.ra,meta.main]
#Column	_DE	(F9.5)	Position from SWASP name (declination part)	[ucd=pos.eq.dec,meta.main]
#-------------------,---,------,------,-----,-----,----,-----,----,-----,----,-----,------,----,-----,-----,--,----------------------,---------,---------
# , ,d,mag,mag,mag,deg,mas/yr,mas/yr,mas/yr,mas/yr,mas, , ,mag,mag, , ,deg,deg
SWASP,X,Per,J-Ks,Ksmag,Vmag,Dist,pmRA,e_pmRA,pmDE,e_pmDE,plx,Mmb,SpType,Vmagl,B-Vl,Ref,SimbadName,_RA,_DE
J033734.97+212035.4,Yes,10.570, 0.524, 7.12, 9.30,12.4,141.5, 1.7,-27.3, 1.3,25.18, 1.000,G5  , 9.36, 0.92, 2,Melotte 25 5          ,054.39571,+21.34317
J034347.07+205136.4,No ,12.300, 0.871, 9.61,     ,10.9,140.0, 1.0,-32.0, 1.0,     , 1.000,    ,14.54, 0.90, 4,                      ,055.94612,+20.86011
J035234.31+111538.6,No ,13.290, 0.858, 9.01,     ,10.2,166.0,15.0,-10.0, 1.0,     , 1.000,M   ,13.73, 1.54, 2,                      ,058.14296,+11.26072
J035453.20+161856.3,Yes, 6.040, 0.905, 9.06,     , 7.7,130.0, 2.0,-18.0, 2.0,     , 1.000,M   ,14.25, 1.58, 2,                      ,058.72167,+16.31564
J035501.43+122908.1,   ,11.660, 0.607, 7.57,10.00, 8.9,127.5, 2.1, -9.6, 1.5,25.62, 1.000,M0  ,10.12, 1.07, 1,Cl* Melotte 25 S 155  ,058.75596,+12.48558
J040339.03+192718.1,No ,11.450, 0.606, 7.60,10.20, 6.0,119.0, 2.3,-34.1, 1.8,23.27, 1.000,K5  ,10.17, 1.08, 2,Melotte 25 222        ,060.91262,+19.45503
J040525.67+192631.7,No ,13.510, 0.782, 8.11,11.70, 5.6,123.0, 3.2,-28.4, 2.2,15.76, 1.000,K7  ,11.41, 1.35, 1,Melotte 25 226        ,061.35696,+19.44214
J040634.62+133256.8,No ,16.680, 0.891, 9.09,     , 6.0,112.0, 2.0,-10.0, 2.0,     , 1.000,M   ,13.52, 1.47, 9,Cl* Melotte 25 REID 62,061.64425,+13.54911
J040701.22+152006.0,No ,11.980, 0.700, 7.66,10.30, 5.1,122.6, 2.0,-18.9, 1.5,24.19, 1.000,K5  ,10.49, 1.18, 1,Melotte 25 231        ,061.75508,+15.33500
J040743.19+163107.6,No ,12.300, 0.594, 7.51, 9.90, 4.6,123.0, 1.6,-25.2, 1.2,19.67, 1.000,K0  , 9.94, 1.02, 2,Melotte 25 229        ,061.92996,+16.51878
J040811.02+165223.3,No ,13.630, 0.833, 7.93,11.10, 4.5,128.8, 5.5,-45.6, 7.0,     , 1.000,K7  ,11.52, 1.44, 1,Cl* Melotte 25 REID 72,062.04592,+16.87314
J040826.66+121130.6,No ,12.960, 0.772, 8.05,11.30, 6.6,115.3, 2.8,-13.0, 2.3,25.93, 1.000,M0  ,11.28, 1.33, 2,Melotte 25 233        ,062.11108,+12.19183
J040836.21+234607.0,   , 9.350, 0.517, 7.32, 9.40, 7.9,120.4, 0.6,-43.9, 0.7,     , 1.000,G5  , 9.44, 0.90, 1,Cl* Melotte 25 PELS 18,062.15087,+23.76861
J041127.64+155931.8,No , 1.790, 0.866, 9.94,14.90, 3.9,120.0, 4.0,-16.0, 3.0,     , 1.000,M   ,15.15, 1.65, 2,Cl* Melotte 25 HAN 43 ,062.86517,+15.99217
J041510.33+142354.5,No ,13.910, 0.818, 8.13,12.70, 3.9,118.8, 4.6,-11.9, 3.9,27.31, 1.000,K2  ,11.54, 1.38, 2,Melotte 25 245        ,063.79304,+14.39847
J041633.47+215426.8,No ,10.260, 0.426, 7.27, 9.10, 5.4,105.6, 1.3,-37.5, 1.1,19.07, 1.000,G5  , 9.14, 0.81, 2,Melotte 25 21         ,064.13946,+21.90744
J041725.14+190147.4,No ,12.950, 0.688, 7.91,11.00, 2.9,112.0, 6.3,-27.8, 8.1,     , 1.000,K5  ,10.83, 1.22, 2,Melotte 25 251        ,064.35475,+19.02983
J041728.13+145403.9,Yes, 2.350, 0.850, 9.62,14.40, 3.1,104.0, 6.0,-18.0, 2.0,     , 1.000,M3  ,14.46, 1.55, 5,Cl* Melotte 25 VA 106 ,064.36721,+14.90108
J042322.85+193931.1,Yes, 9.900, 0.571, 7.15, 9.40, 2.7, 98.5, 1.7,-32.5, 1.4,16.50, 1.000,K2  , 9.40, 0.91, 2,Melotte 25 43         ,065.84521,+19.65864
J042325.28+154547.2,No ,12.380, 0.699, 7.49,10.60, 1.6,126.2, 2.9,-30.5, 2.4,21.26, 1.000,K0  ,10.49, 1.24, 1,Melotte 25 173        ,065.85533,+15.76311
