# Hyades from Radick 1987 (colour uncertainties are made up) age from http://arxiv.org/abs/astro-ph/9707253
B-V,B-V_err,P,P_err,A,A_err
0.535,0.01,5.87,0.03,0.625,0.05
0.543,0.01,5.13,0.02,0.625,0.05
0.566,0.01,5.45,0.02,0.625,0.05
0.597,0.01,8.05,0.06,0.625,0.05
0.601,0.01,7.10,0.05,0.625,0.05
0.603,0.01,6.46,0.03,0.625,0.05
0.609,0.01,7.31,0.03,0.625,0.05
0.632,0.01,7.73,0.06,0.625,0.05
0.634,0.01,8.55,0.03,0.625,0.05
0.741,0.01,9.04,0.04,0.625,0.05
0.743,0.01,9.39,0.05,0.625,0.05
0.746,0.01,11.52,0.06,0.625,0.05
0.816,0.01,8.98,0.10,0.625,0.05
0.831,0.01,11.38,0.09,0.625,0.05
0.883,0.01,9.36,0.04,0.625,0.05
0.907,0.01,10.26,0.05,0.625,0.05
0.987,0.01,12.64,0.15,0.625,0.05
1.031,0.01,10.82,0.07,0.625,0.05
1.058,0.01,11.88,0.06,0.625,0.05
1.067,0.01,11.92,0.07,0.625,0.05
1.237,0.01,14.14,0.14,0.625,0.05
1.357,0.01,3.66,0.01,0.625,0.05
