praesepe_oid,col1,solution_id,designation,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,source_id
1,0,1635721458409799680,Gaia DR2 665203233431193344,438819314,2015.5,129.73385354319655,0.28250003472034463,21.940802225611847,0.1809366913130934,5.181967323170673,0.364821207542665,14.204128,-35.84058251745401,0.5422666119947177,-13.45929199757387,0.37546512450414343,-0.67677385,-0.5611997,-0.58451676,0.64583015,0.52425927,0.60870844,-0.63459766,0.7262891,-0.64221954,-0.64946604,268,0,265,3,4.547959,377.25476,0.8492111563714495,4.131324616634331,31,false,0.36700276,1.274769322121197,0.037341672645058686,-0.0559877,30,10,0.6195852,0,37,false,328,793.4156573417455,1.2204978918969467,650.0754,18.439613,33,109.92366055275195,5.99803939857847,18.3266,20.248661,32,1171.9798377885747,11.792865395637968,99.38042,17.08962,1.6156771,0,3.1590405,1.8090477,1.3499928,,,0,,,,NOT_AVAILABLE,203.23716035572252,32.925303484797105,126.43860892589079,3.386589434638432,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=665203233431193344,,665203233431193344
2,1,1635721458409799680,Gaia DR2 664963024499946496,958732839,2015.5,130.84387194770818,0.03901347964810798,21.67163315682793,0.02335952587439396,5.597635847709588,0.04702067263944514,119.04627,-37.65314529914873,0.07518456714767217,-14.368143162076793,0.048269190806678984,-0.3185528,-0.28130677,-0.31441233,0.25010985,0.17187771,0.3448516,-0.792576,0.52406764,-0.03576493,-0.32548714,437,437,416,21,11.747397,847.1019,0.0,0.0,31,true,334.04196,1.5861404765819127,0.006233578738492003,0.093674295,50,12,0.05097232,0,57,true,490,1299242.4730115607,414.718994190441,3132.8262,10.40414,54,681591.138191885,499.3819671127931,1364.8694,10.767578,57,875939.3901312983,656.586932630942,1334.0798,9.905735,1.198799,0,0.8618431,0.36343765,0.49840546,,,0,,,,NOT_AVAILABLE,203.94256485206543,33.81272897612869,127.50562024171006,3.3920583621208484,100001,5516.3003,5360.9,5664.2,0.423,0.2325,0.6008,0.2173,0.1269,0.297,200111,1.4155829,1.3426225,1.4988415,1.6716946,1.6520766,1.6913127,http://geadata.esac.esa.int/data-server/datalink/links?ID=664963024499946496,,664963024499946496
3,2,1635721458409799680,Gaia DR2 664976218639479296,1098661810,2015.5,130.76188472497412,0.12662728868433723,21.753746648371642,0.0797323308465079,5.730734073778057,0.1567354908762009,36.56309,-41.50437733613937,0.2391477918401656,-16.728266543021405,0.17790888876953592,-0.29788053,-0.2092003,-0.21396403,0.23124844,0.102266744,0.3589522,-0.79073465,0.47185206,0.1035458,-0.313014,404,0,400,4,7.215041,633.56305,0.5038191295123461,7.415951608407436,31,false,1.3805146,1.2037174931610564,0.01911452156260152,0.090675384,46,11,0.23535913,0,49,false,424,2189.9865479660434,1.7461329133466281,1254.1924,17.337261,46,264.41678137445996,5.194123905570953,50.906906,19.295666,45,3203.2410698649746,7.988652097391783,400.9739,15.997946,1.5834152,1,3.29772,1.9584045,1.3393154,,,0,,,,NOT_AVAILABLE,203.81939100429543,33.76728194918118,127.41052618983666,3.451504744838045,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664976218639479296,,664976218639479296
4,3,1635721458409799680,Gaia DR2 665059403566191872,1163176641,2015.5,131.04537513149273,0.0947582894515142,21.79389426032645,0.056234707388346065,5.635962281138118,0.13993364809132006,40.275963,-38.870147992997346,0.18444766178452993,-15.794311056258671,0.10435026156436691,-0.5448872,-0.59338176,-0.48953837,0.43230978,0.5992538,0.5887632,-0.8032242,0.75885123,-0.42798376,-0.51173216,381,0,381,0,5.5560517,549.0094,0.26785725464934523,4.7115514167779295,31,false,3.9332626,1.2672353240349294,0.012384962697418006,0.06884541,43,10,0.20360583,0,50,false,441,4861.390868198172,2.9320506416540852,1658.0173,16.471464,45,884.2035634181925,6.1914853575111275,142.8096,17.985008,48,6341.536119975194,12.160048085110144,521.50586,15.2564335,1.4863523,0,2.7285748,1.5135441,1.2150307,,,0,,,,NOT_AVAILABLE,203.87611823796465,34.029394914594455,127.6546499821557,3.5589597695430695,100001,4065.55,3592.7651,4675.263,0.478,0.1909,0.7426,0.275,0.0987,0.4646,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=665059403566191872,,665059403566191872
5,4,1635721458409799680,Gaia DR2 664942404361149568,123701194,2015.5,130.43077461126953,0.19630844564874136,21.49726523363486,0.10871964547013753,5.139799465072064,0.2195440122438807,23.41125,-34.19635071263655,0.38410120289516464,-15.836880377919316,0.22827887728074753,-0.02675288,-0.16208498,-0.043643404,0.039996106,0.038796645,0.047318455,-0.6211971,0.49339315,-0.018348692,-0.025998047,308,0,308,0,5.908678,472.07425,0.7334619613300565,5.21973606258362,31,false,0.53784674,1.2272712463246687,0.03201231144594537,0.14554977,35,11,0.34907773,0,42,false,359,1030.286606970363,1.426652421882855,722.1707,18.155972,35,131.01063077744186,7.3684848456828185,17.77986,20.058123,36,1579.6964115611336,6.69985462443064,235.7807,16.765486,1.6604186,0,3.2926369,1.9021511,1.3904858,,,0,,,,NOT_AVAILABLE,203.99019408211018,33.39274606041209,127.17936511879542,3.123989439687734,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664942404361149568,,664942404361149568
6,5,1635721458409799680,Gaia DR2 664909831331050624,1299344258,2015.5,131.22408819423873,0.3728893383756387,21.619123377685224,0.21820685702556258,5.675676852963673,0.4774238465466242,11.88813,-39.13990796857961,0.7080169087189867,-16.578394213094693,0.41207334987013955,-0.50846314,-0.56781733,-0.5821434,0.45306233,0.56346184,0.5364501,-0.8141276,0.73610306,-0.46626347,-0.47779202,339,0,339,0,5.0601287,481.7436,0.9846294669086006,4.318879070925932,31,false,0.25254133,1.1549411045541174,0.049294879891348474,0.103290856,39,11,0.7626221,0,44,false,377,502.4324933798854,1.1753274366652395,427.483,18.93567,8,123.43919014854092,18.184659661987965,6.7880945,20.122755,7,1036.4600305044066,39.64974623818386,26.140394,17.223038,2.3085673,0,2.8997173,1.1870842,1.7126331,,,0,,,,NOT_AVAILABLE,204.1405999724861,34.130029815085344,127.86108517212178,3.433830468547412,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664909831331050624,,664909831331050624
7,6,1635721458409799680,Gaia DR2 664914164952043008,637469673,2015.5,131.135647591957,0.10186225502609812,21.683015536683477,0.0568438227616847,5.341454282965936,0.16560379638065917,32.254417,-37.12095866364089,0.21639362486911062,-14.459860851886695,0.1017124488344592,-0.5466985,-0.55331594,-0.34797254,0.4690538,0.67089915,0.63004947,-0.79119927,0.7996038,-0.48447698,-0.50771,336,0,333,3,6.727072,531.3069,0.2778633875986193,5.75523780732132,31,false,4.582678,1.2936697013982217,0.012720755775146864,0.09540375,38,11,0.23141284,0,42,false,371,6157.602492757718,8.350439470481184,737.3986,16.214836,42,1137.493742709616,9.859820805463922,115.36658,17.711515,42,8029.0895391137055,32.14000205623962,249.81609,15.000255,1.488661,0,2.7112608,1.4966793,1.2145815,,,0,,,,NOT_AVAILABLE,204.03546021009686,34.07293633251382,127.76482518320343,3.473915962119915,100001,3970.53,3525.255,4275.44,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664914164952043008,,664914164952043008
8,7,1635721458409799680,Gaia DR2 665212510560536960,451372770,2015.5,129.8386343801788,0.09556812672234823,22.088967272126897,0.05798910551325844,5.369988983883467,0.12810655692221623,41.918144,-36.58074076250864,0.19257012981500296,-14.37338165683903,0.1276554028615434,-0.40855503,-0.13376553,-0.101978354,0.3461726,0.13418469,0.2843379,-0.24034846,0.49199298,-0.46837994,-0.2913664,228,0,228,0,4.3308396,326.67505,0.32118783058320427,3.1435183537798337,31,false,2.425846,1.3270931706851037,0.015790681745163966,0.021005845,26,11,0.18745278,0,33,false,286,3365.0544817968753,3.130782182941563,1074.8287,16.870886,28,582.4410528380525,10.13175640039954,57.486683,18.43826,29,4459.871006199674,18.567195989893307,240.20164,15.638615,1.498434,0,2.7996445,1.5673733,1.2322712,,,0,,,,NOT_AVAILABLE,203.10754104941148,33.06519831298268,126.49485684070629,3.5546281087386777,100001,3680.0667,3198.0,4162.98,0.4505,0.4199,0.7068,0.259,0.172,0.3186,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=665212510560536960,,665212510560536960
9,8,1635721458409799680,Gaia DR2 665004702861616256,808383652,2015.5,131.36626481121152,0.05680642774557782,21.65353004826067,0.03208742776733267,5.236533849889874,0.0779136638207377,67.20944,-35.1976923678807,0.11650005636502722,-13.88776400478475,0.05868873824569574,-0.1613086,-0.28986424,-0.25087154,0.09490969,-0.016697364,0.0026747554,-0.41050705,0.63724893,-0.25810197,-0.27526006,151,151,148,3,8.6594095,343.9243,0.0,0.0,31,true,248.20636,1.642801355736907,0.012635357650135912,0.04758663,17,11,0.06969675,0,21,true,181,1295768.2710840486,915.0392697581075,1416.0795,10.407047,19,729579.8374021132,793.9082325347255,918.97253,10.6937065,20,817137.7349458883,828.5652392917124,986.20807,9.981182,1.1936684,0,0.7125244,0.28665924,0.42586517,34.380631412379,0.4333793564155263,6,5500.0,3.5,0.0,NOT_AVAILABLE,204.15293559438751,34.26621274968658,127.97976094005112,3.5017825240406766,100001,6048.0,6013.0,6212.6636,0.201,0.0439,0.315,0.0867,0.0089,0.1501,200111,1.2364011,1.1717292,1.2508364,1.8427252,1.8084514,1.8769989,http://geadata.esac.esa.int/data-server/datalink/links?ID=665004702861616256,,665004702861616256
10,9,1635721458409799680,Gaia DR2 664974015320042752,794163064,2015.5,130.5840689307125,0.2601085481279039,21.74543291104784,0.12953082648092584,5.64345609532986,0.3058223820716927,18.453379,-38.448064359009294,0.4686254182285832,-14.504470223429323,0.27499266259497773,-0.10816616,-0.32857537,-0.18298352,-0.057535518,0.21693993,0.14192493,-0.5863634,0.3984856,0.013149934,-0.1916039,372,0,369,3,2.4837217,434.4606,0.5050033189220725,1.19521480810803,31,false,0.31890163,1.233850741015267,0.04227903583947382,0.08525086,43,10,0.43258473,0,50,false,429,569.8356507434956,0.9776708267216303,582.8502,18.798992,41,88.5940907740603,6.481633859052447,13.668481,20.482876,43,874.8427199364633,6.290842088843221,139.06607,17.407095,1.6907275,0,3.0757809,1.6838837,1.3918972,,,0,,,,NOT_AVAILABLE,203.7645195768723,33.608343120513204,127.2529133751994,3.400582965894308,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664974015320042752,,664974015320042752
