#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-13T21:45:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9ada5a1421
#INFO	-out.max=unlimited
#INFO	queryParameters=28
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/413/2218&tab:{J/MNRAS/413/2218/praesepe}&key:source=J/MNRAS/413/2218/praesepe&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/413/2218/praesepe
#-order=I
#-out=SWASP
#-out=X
#-out=Per
#-out=J-Ks
#-out=Ksmag
#-out=Vmag
#-out=Dist
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Mmb
#-out=SpType
#-out=Vmagl
#-out=B-Vl
#-out=Ref
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74132218
#Name: J/MNRAS/413/2218
#Title: Stellar rotation in Hyades and Praesepe (Delorme+, 2011)
#Table	J_MNRAS_413_2218_praesepe:
#Name: J/MNRAS/413/2218/praesepe
#Title: Praesepe members with SuperWASP rotation periods
#Column	SWASP	(A19)	Swasp designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id;meta.main]
#Column	X	(A3)	[Yes/No ] X-ray activity? (table2 only) (1)	[ucd=meta.code]
#Column	Per	(F6.3)	Rotation (spin) period (2)	[ucd=time.period]
#Column	J-Ks	(F6.3)	2MASS J-Ks colour index	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	Ksmag	(F5.2)	2MASS Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	Vmag	(F5.2)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Dist	(F4.1)	Distance to the cluster centre	[ucd=pos.angDistance]
#Column	pmRA	(F5.1)	Proper motion along RA	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	Proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Mmb	(F6.3)	Membership probability	[ucd=stat.probability]
#Column	SpType	(A4)	MK spectral type	[ucd=src.spType]
#Column	Vmagl	(F5.2)	? Literature V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-Vl	(F5.2)	? Literature B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Ref	(I2)	? Reference for photometry (1) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(A19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SWASP name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SWASP name (declination part)	[ucd=pos.eq.dec;meta.main]
 ; ;d;mag;mag;mag;deg;mas/yr;mas/yr;mas/yr;mas/yr; ; ;mag;mag; ; ;deg;deg
-------------------;---;------;------;-----;-----;----;-----;----;-----;----;------;----;-----;-----;--;-------------------;---------;---------
SWASP;X;Per;J-Ks;Ksmag;Vmag;Dist;pmRA;e_pmRA;pmDE;e_pmDE;Mmb;SpType;Vmagl;B-Vl;Ref;SimbadName;_RA;_DE
J083141.93+260641.0;   ;13.160; 0.738;10.79;13.70; 6.7;-42.8; 5.6;-16.5; 5.6; 1.000;    ;     ;     ;  ;                   ;127.92471;+26.11139
J083554.98+224611.3;   ; 9.310; 0.532;10.23;12.70; 3.3;-29.5; 5.2;-19.5; 5.2; 0.928;    ;     ;     ;  ;                   ;128.97908;+22.76981
J083622.69+191129.3;   ; 9.830; 0.506;10.25;12.40; 1.1;-39.9; 6.0;-13.6; 6.1; 0.998;K2  ;12.41; 1.11;12;Cl* NGC 2632 JS 127;129.09454;+19.19147
J083627.81+175453.4;   ; 6.910; 0.315; 9.40;10.90; 2.0;-36.5; 1.1;-11.4; 1.1; 0.999;F7.5;10.96; 0.37;12;Cl* NGC 2632 JS 134;129.11587;+17.91483
J083627.86+210716.2;   ;13.090; 0.757;10.96;13.80; 1.7;-36.0; 1.0;-10.0; 1.0; 0.979;K5.9;14.04;     ;12;Cl* NGC 2632 JS 131;129.11608;+21.12117
J083628.30+201342.8;   ;10.250; 0.541;10.44;12.70; 1.1;-44.3; 6.3;-16.1; 6.3; 0.998;K1.3;12.65; 0.95;15;Cl* NGC 2632 KW 535;129.11792;+20.22856
J083648.96+191526.4;   ; 7.410; 0.396; 9.68;11.30; 0.9;-36.2; 2.3;-12.8; 1.3; 1.000;G4  ;10.76;     ;11;Cl* NGC 2632 KW 539;129.20400;+19.25733
J083657.82+213355.9;   ;13.270; 0.834;11.12;14.10; 2.0;-42.1; 6.3;-12.5; 6.3; 1.000;K7.7;14.46;     ;12;Cl* NGC 2632 JS 156;129.24092;+21.56553
J083711.48+194813.2;   ; 8.840; 0.389; 9.68;11.10; 0.8;-35.4; 0.7;-12.8; 0.7; 0.977;G   ;11.33; 0.71;13;Cl* NGC 2632 KW 23 ;129.29783;+19.80367
J083718.29+194156.3;   ; 8.900; 0.373; 9.80;11.60; 0.7;-37.1; 1.9;-15.2; 1.9; 0.999;G5  ;11.45; 0.74;13;Cl* NGC 2632 KW 27 ;129.32621;+19.69897
J083722.23+201037.0;   ; 3.910; 0.384; 9.80;11.30; 0.9;-36.0; 0.7;-14.5; 0.9; 0.990;G   ;11.40; 0.72;13;Cl* NGC 2632 KW 30 ;129.34262;+20.17694
J083727.54+193703.1;   ; 8.680; 0.446; 9.80;11.50; 0.7;-34.0; 1.9;-12.6; 1.9; 0.998;G8  ;11.65; 0.77;13;Cl* NGC 2632 KW 32 ;129.36475;+19.61753
J083733.07+183915.5;   ; 7.590; 0.338; 9.28;10.50; 1.2;-37.5; 1.2;-14.3; 1.4; 0.999;G0  ;10.60; 0.74;12;Cl* NGC 2632 JS 189;129.38779;+18.65431
J083735.77+205927.5;   ;10.090; 0.636;10.25;12.90; 1.5;-32.0; 4.0;-14.0; 3.0; 0.994;K3.5;12.83; 1.11;12;Cl* NGC 2632 JS 190;129.39904;+20.99097
