,praesepe_oid,col1,solution_id,designation,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,source_id,Source,Cluster,RA_ICRS,DE_ICRS,Gmag,plx,e_plx,_RA.icrs,_DE.icrs,id_x,Name,EPIC,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,period,id_y,jmag,e_jmag,hmag,e_hmag,kmag,e_kmag
0,2,1,1635721458409799680,Gaia DR2 664963024499946496,958732839,2015.5,130.84387194770818,0.03901347964810798,21.67163315682793,0.02335952587439396,5.597635847709588,0.047020672639445135,119.04626999999999,-37.653145299148726,0.07518456714767217,-14.368143162076793,0.04826919080667898,-0.31855279999999997,-0.28130677,-0.31441233,0.25010985,0.17187771,0.3448516,-0.7925760000000001,0.52406764,-0.03576493,-0.32548714,437,437,416,21,11.747397,847.1019,0.0,0.0,31,True,334.04196,1.5861404765819127,0.006233578738492003,0.093674295,50,12,0.05097232,0,57,True,490,1299242.4730115607,414.718994190441,3132.8262,10.40414,54,681591.138191885,499.3819671127931,1364.8694,10.767578,57,875939.3901312983,656.586932630942,1334.0798,9.905735,1.198799,0,0.8618431000000001,0.36343765,0.49840546,,,0,,,,NOT_AVAILABLE,203.94256485206543,33.812728976128696,127.50562024171008,3.3920583621208484,100001.0,5516.3003,5360.9,5664.2,0.423,0.2325,0.6008,0.2173,0.1269,0.297,200111.0,1.4155829,1.3426225,1.4988415000000002,1.6716946,1.6520766,1.6913127000000001,http://geadata.esac.esa.int/data-server/datalink/links?ID=664963024499946496,,664963024499946496,664963024499946496,Praesepe,130.84386999999998,21.67163,10.404000000000002,5.556,0.04,130.84386999999998,21.67163,3.0,JS532  ,212081702,1.24,10.36,8.97,11.17, 0.7738,0,Y, 0.00804,       ,       , ,N,Y,N,conf, 0.01304, 0.59481,2,10.34,1,1,All,2M,Simbad,130.844045,21.671699,11.17,212081702,9.328000099999999,0.02,8.9759998,0.02,8.9700003,0.017999999
1,9,8,1635721458409799680,Gaia DR2 665004702861616256,808383652,2015.5,131.36626481121152,0.05680642774557783,21.65353004826067,0.03208742776733267,5.236533849889874,0.0779136638207377,67.20944,-35.197692367880705,0.11650005636502722,-13.887764004784751,0.05868873824569574,-0.1613086,-0.28986424,-0.25087154,0.09490969,-0.016697364,0.0026747553999999997,-0.41050705,0.63724893,-0.25810197,-0.27526006,151,151,148,3,8.6594095,343.9243,0.0,0.0,31,True,248.20636000000002,1.6428013557369072,0.012635357650135912,0.04758663,17,11,0.06969675,0,21,True,181,1295768.2710840486,915.0392697581076,1416.0795,10.407047,19,729579.8374021131,793.9082325347255,918.9725300000001,10.693706500000001,20,817137.7349458883,828.5652392917124,986.2080699999999,9.981182,1.1936684,0,0.7125244000000001,0.28665924,0.42586517,34.380631412378996,0.4333793564155263,6,5500.0,3.5,0.0,NOT_AVAILABLE,204.15293559438751,34.26621274968658,127.97976094005112,3.5017825240406766,100001.0,6048.0,6013.0,6212.6636,0.201,0.0439,0.315,0.0867,0.0089,0.1501,200111.0,1.2364011000000001,1.1717292,1.2508363999999998,1.8427252,1.8084513999999998,1.8769988999999998,http://geadata.esac.esa.int/data-server/datalink/links?ID=665004702861616256,,665004702861616256,665004702861616256,Praesepe,131.36626,21.65353,10.407,5.122000000000001,0.045,131.36626,21.65353,17.0,JS596  ,212080687,1.18,10.34,9.26, 4.92, 0.5092,0,Y, 0.00778,       ,       , ,N,Y,N,    , 0.00535, 0.15733,K,10.34,1,1,All,2M,Simbad,131.36643899999999,21.653576,4.92,212080687,9.550999599999999,0.023,9.324000400000001,0.021,9.257,0.018999999
2,12,11,1635721458409799680,Gaia DR2 665129291274350976,1023339599,2015.5,130.15080951408973,0.04462626019627995,21.561656990105504,0.025361129401970803,5.3595791893474765,0.054918761699209485,97.59104,-36.08283742462877,0.08203837211970001,-13.67120943857287,0.0498338291849797,-0.3039307,-0.511174,-0.42878005,0.40520164,0.05495685,0.21378297,-0.36768445,0.57438993,-0.40980917,-0.38805154,231,231,225,6,4.8991127,338.70633,0.0,0.0,31,True,368.4361,1.5861680586422646,0.00940523166875981,0.036713496,26,11,0.05579377,0,34,True,288,456472.1215014226,249.9732739807499,1826.0837,11.53983,31,232101.8559268452,287.2778991256897,807.93494,11.937192,32,317634.2386658409,309.2138450387536,1027.2316,11.007102,1.2043146999999998,0,0.93008995,0.39736176,0.5327281999999999,35.42443814046792,1.1630185455651842,7,5500.0,5.0,0.25,NOT_AVAILABLE,203.815422116408,33.16775003686298,126.91073682675452,3.1191177104032355,100001.0,5355.7,5248.25,5571.6665,0.045,0.017,0.1857,0.021,0.0079,0.0827,200111.0,0.9381778000000001,0.866857,0.9769867,0.6524241999999999,0.64344203,0.6614064000000001,http://geadata.esac.esa.int/data-server/datalink/links?ID=665129291274350976,,665129291274350976,665129291274350976,Praesepe,130.15081,21.56166,11.54,5.3389999999999995,0.034,130.15081,21.56166,26.0,       ,212075775,1.01,11.61,9.97, 9.02, 0.2018,0,Y, 0.00830,       ,       , ,N,Y,N,    , 0.00664, 0.26359,D,11.45,2,2,All,2M,Simbad,130.15098600000002,21.561719,9.02,212075775,10.386,0.02,10.021,0.02,9.974,0.017999999
3,17,16,1635721458409799680,Gaia DR2 664337230586013312,672933698,2015.5,129.60108630074123,0.055732865596068513,20.106007385176245,0.03185475380254375,5.26448239605576,0.0678256670024561,77.61785,-36.14415308146533,0.10815074596611383,-13.014038371245267,0.06118361074974975,-0.41832632,-0.6299786999999999,-0.6817054,0.3881355,0.31350753,0.33902037,-0.507533,0.7408083000000001,-0.43256676,-0.4770879,189,189,180,9,8.637504,390.29443,0.0,0.0,31,True,328.29483,1.6184891314616312,0.010896390729594066,0.021231688999999998,21,10,0.07347759,0,31,False,250,1297876.527685323,485.1697768342389,2675.0977,10.405282000000001,28,716840.8009514164,920.156007063647,779.04266,10.7128315,28,828573.1787564702,608.5248335954831,1361.6095,9.966092999999999,1.190725,0,0.74673843,0.30754948,0.43918896,34.78405784405402,0.6403243291093629,5,6250.0,4.5,0.25,NOT_AVAILABLE,205.23993025190484,32.19543527567107,126.78543130754915,1.580549894791221,100001.0,5953.25,5829.9,6163.2,0.298,0.1626,0.424,0.14300000000000002,0.0866,0.1851,200111.0,1.2726084999999998,1.1873822,1.3270303999999997,1.8327401,1.8024668000000001,1.8630133999999998,http://geadata.esac.esa.int/data-server/datalink/links?ID=664337230586013312,,664337230586013312,664337230586013312,Praesepe,129.60109,20.10601,10.405,5.431,0.061,129.60109,20.10601,41.0,KW100  ,211990866,1.19,10.39,9.18, 4.26, 0.3217,0,Y, 0.00788,       ,       , ,M,Y,N,conf, 0.01358, 0.28341,K,10.41,0,1,All,2M,Simbad,129.60125,20.106063,4.26,211990866,9.463000300000001,0.026000001000000002,9.2419996,0.029999999,9.1820002,0.017999999
4,19,18,1635721458409799680,Gaia DR2 664455118847781760,1237355236,2015.5,130.09322513136922,0.029070552519225763,20.64080639129397,0.01830926970619871,5.5285577380620765,0.03872515662509116,142.76398999999998,-36.69688076262951,0.05941611499248016,-13.411663430947332,0.040753741871155165,-0.26423624,-0.300127,-0.11973508,-0.023193868,0.040872023,0.021704104,-0.12339935,0.53486747,-0.065042086,-0.4031816,204,9,204,0,-0.42909116,189.91487,0.0,0.0,31,False,49.81307,1.409663666740185,0.006521463791732753,-0.006676054,23,10,0.06372849,0,29,False,256,39192.792467522835,21.919712968218064,1788.0157,14.20535,27,12418.75154451572,49.650523966354115,250.12328,15.116194,27,39584.544795090915,75.02619033664358,527.6097,13.268105499999999,1.3268586000000002,0,1.8480883000000001,0.91084385,0.9372444,,,0,,,,NOT_AVAILABLE,204.8296645909934,32.81117803091596,127.09531948534864,2.215317046736552,100001.0,3962.0,3900.0,4259.887,0.5983,0.3359,0.858,0.2865,0.1304,0.42,200111.0,0.6244486,0.5401687,0.6444605999999999,0.08656572,0.08521158,0.08791985,http://geadata.esac.esa.int/data-server/datalink/links?ID=664455118847781760,,664455118847781760,664455118847781760,Praesepe,130.09323,20.640810000000002,14.205,5.505,0.043,130.09323,20.640810000000002,43.0,JS353  ,212023280,0.61,14.27,11.22,14.73, 0.4982,0,Y, 0.00762,       ,       , ,N,Y,N,    , 0.02185, 0.94928,D,14.17,2,2,All,2M,Simbad,130.093397,20.640869,14.73,212023280,12.085,0.022000000000000002,11.425,0.023,11.22,0.016000001
5,21,20,1635721458409799680,Gaia DR2 664437320503310336,1229259398,2015.5,130.27198826437746,0.029219261113023018,20.47342034334239,0.017003553405035208,5.231505120538272,0.033783684192221754,154.85301,-35.98680344522009,0.05822674139048223,-13.414680423300913,0.032394813947015606,-0.20832820000000002,-0.16981210000000002,-0.33644095,0.0939869,-0.0013685507,0.06374306,-0.4447723,0.43416104,-0.15545785,-0.25148788,256,0,255,1,-1.0206186,227.23952999999997,0.0,0.0,31,False,39.279224,1.4039451124596976,0.005358804952413607,0.04107132,29,12,0.063952126,0,32,False,279,32194.62277103643,11.928139866188015,2699.048,14.418907,30,9941.951386557934,25.59275088858,388.46747,15.357709,29,33114.56414234557,55.016514079331294,601.9023,13.461872,1.3373822,0,1.8958368000000003,0.93880177,0.95703506,,,0,,,,NOT_AVAILABLE,205.08449932199778,32.9122416953295,127.30022067830392,2.0965355498462523,100001.0,4234.23,3889.0,4501.6133,0.5455,0.1473,0.955,0.28600000000000003,0.1174,0.473,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=664437320503310336,,664437320503310336,664437320503310336,Praesepe,130.27199,20.47342,14.419,5.254,0.035,130.27199,20.47342,45.0,JS405  ,212013222,0.6,14.47,11.41,14.81, 0.1769,0,Y, 0.00884,       ,       , ,N,Y,N,    , 0.02654, 0.63128,2,14.41,0,2,All,2M,Simbad,130.27213799999998,20.473481,14.81,212013222,12.267999999999999,0.021,11.605,0.023,11.411,0.018999999
6,24,23,1635721458409799680,Gaia DR2 664437286143573760,1236664,2015.5,130.26076024738802,0.036086464233189786,20.457651294278516,0.02256956577763755,5.348402729577359,0.044297902363325134,120.73715,-36.72017048511211,0.07200961335446338,-14.285835001004417,0.043664075617649824,-0.27122414,-0.24013463,-0.29256052,0.0858103,-0.031124053999999998,0.059771784,-0.46461996,0.46087134,-0.081443764,-0.31216264,266,266,265,1,3.7630205,354.7757,0.0,0.0,31,True,345.23273,1.5450652135129976,0.007173066239730891,-0.01998209,30,12,0.04809211,0,34,True,299,274284.2342555521,167.9203862242091,1633.4183,12.092864,33,129742.94098749664,326.65263953017154,397.18933,12.568679,32,205476.72043145396,381.8617911382666,538.09186,11.480014,1.2221617,1,1.088665,0.47581482,0.6128501999999999,35.16187061207888,0.8582481462060505,13,5500.0,4.5,0.0,NOT_AVAILABLE,205.09793682214092,32.89700882840173,127.29410829121002,2.078590979446397,100002.0,5014.3765,4894.0,5119.785,0.1785,0.0909,0.3304,0.1017,0.0486,0.17600000000000002,200111.0,0.8554801999999999,0.82061666,0.8980818000000002,0.41685244,0.41194475,0.42176014,http://geadata.esac.esa.int/data-server/datalink/links?ID=664437286143573760,,664437286143573760,664437286143573760,Praesepe,130.26076,20.45765,12.093,5.392,0.06,130.26076,20.45765,48.0,       ,212012299,0.9,12.06,10.29, 9.63, 0.2783,0,N, 0.00743,       ,       , ,N,Y,N,    , 0.01224, 0.60377,2,12.02,0,2,All,2M,Simbad,130.260917,20.457701,9.63,212012299,10.78,0.021,10.408,0.021,10.290999999999999,0.016000001
7,30,29,1635721458409799680,Gaia DR2 664513049366544256,451617246,2015.5,129.59926074695244,0.030870764558229895,20.727951500792802,0.01802262035213597,5.339991116670405,0.04159442362652704,128.38239,-35.718230179916745,0.0654155716744116,-13.258328511071278,0.035198800222879995,-0.08517802,-0.010255514,-0.12708488,0.07792036,-0.005547391,0.06742755,-0.32876873,0.6365099,-0.16735539,-0.24679787,191,0,191,0,0.21701893,189.54128,0.0,0.0,31,True,46.340076,1.4166369107993666,0.006179445376732782,0.13055758,22,10,0.069642015,0,29,False,252,37366.20309804344,14.621355859128167,2555.5908,14.257169000000001,26,11768.472771567076,36.3669139390657,323.60382000000004,15.174588,27,38003.237636616366,36.40369629473901,1043.9389999999999,13.312368,1.3319981,0,1.8622198,0.91741943,0.9448004000000001,,,0,,,,NOT_AVAILABLE,204.5473495759804,32.405472545273525,126.62590778110555,2.181713191806308,100001.0,3900.0,3821.595,4072.0,0.7285,0.48200000000000004,1.0951,0.3457,0.223,0.5491,200111.0,0.6652710000000001,0.61025625,0.6928488,0.092246585,0.09061918,0.09387399,http://geadata.esac.esa.int/data-server/datalink/links?ID=664513049366544256,,664513049366544256,664513049366544256,Praesepe,129.59926000000002,20.72795,14.257,5.345,0.027000000000000003,129.59926000000002,20.72795,55.0,JS227  ,212028430,0.6,14.28,11.3,15.33, 0.7339,0,Y, 0.00928,       ,       , ,N,Y,Y,    , 0.01159, 0.54683,2,14.24,1,1,All,2M,Simbad,129.599439,20.728011,15.33,212028430,12.08,0.021,11.425999999999998,0.032000002,11.3,0.02
8,34,33,1635721458409799680,Gaia DR2 664417494934591488,791143984,2015.5,129.30238187682914,0.038983459002638096,20.544779408638934,0.02238432043381876,5.422464144403653,0.062362655605368814,86.9505,-36.01182002025497,0.08886566614362665,-14.652243294363313,0.04422426468366701,-0.40487477,-0.5382106,-0.5993114,0.44399464,0.19871399,0.27439827,-0.40094253,0.82126695,-0.553725,-0.55413973,174,0,172,2,1.4849553,194.89523,0.0,0.0,31,True,53.580740000000006,1.4074599351585266,0.007545108133928269,-0.015499131999999999,20,10,0.09988139,0,26,False,228,41435.3417573372,22.487961390147902,1842.5566,14.144938,24,13466.586666458923,48.85390412004832,275.65018,15.028244,23,41298.02533490231,69.87667573571804,591.013,13.222095999999999,1.3216883999999998,0,1.8061476000000003,0.88330555,0.922842,,,0,,,,NOT_AVAILABLE,204.6399313923656,32.082038108343966,126.40329434630951,1.9342286037394203,100001.0,3933.0,3883.0,4077.7929999999997,0.606,0.2766,0.9079999999999999,0.2847,0.1539,0.4421,200111.0,0.67086124,0.6240656,0.68824935,0.0970188,0.09463464,0.09940296400000001,http://geadata.esac.esa.int/data-server/datalink/links?ID=664417494934591488,,664417494934591488,664417494934591488,Praesepe,129.30238,20.54478,14.145,5.4879999999999995,0.05,129.30238,20.54478,59.0,JS169  ,212017486,0.6,14.2,11.37,13.98, 0.5152,0,Y, 0.00777,       ,       , ,N,Y,N,    , 0.01668, 0.65831,2,14.12,0,2,All,2M,Simbad,129.302556,20.544856,13.98,212017486,12.132,0.027000001000000003,11.478,0.026000001000000002,11.370999999999999,0.021
9,36,35,1635721458409799680,Gaia DR2 664326922664482944,1366900529,2015.5,129.87658880807902,0.04279322286953143,20.068996218563463,0.03312532290821615,5.249323601757233,0.054923280807234506,95.57556,-35.37633085768353,0.08575292207130986,-12.51695394211558,0.058552220726798276,-0.43854013,-0.29574245,-0.4579715999999999,0.38450432,-0.010612748,0.23084795,-0.49724504,0.6377804,-0.28297058,-0.45964962,194,194,189,5,5.0582123,298.1691,0.0,0.0,31,True,306.35938,1.5921727652527282,0.01031008925135775,-0.06948186,22,12,0.059239294000000005,0,28,False,233,1655131.1451573872,1063.4705645763847,1556.3488,10.141285,25,883347.335719083,1875.8200253254129,470.91263,10.486059,25,1085058.9786746472,1573.3947694904086,689.6292,9.673286000000001,1.1892751,0,0.81277275,0.34477425,0.4679985,35.32044800661644,0.7873555263746904,7,5500.0,4.5,0.0,NOT_AVAILABLE,205.38612782394648,32.42576280929884,127.04517841350102,1.6105789005736344,100001.0,5741.3667,5641.0,5860.075,0.7170000000000001,0.41600000000000004,0.9525,0.3545,0.23199999999999998,0.4721,200111.0,1.5584216999999998,1.4959228,1.6143711,2.3775291000000003,2.3440986,2.4109597000000003,http://geadata.esac.esa.int/data-server/datalink/links?ID=664326922664482944,,664326922664482944,664326922664482944,Praesepe,129.87659,20.069,10.141,5.257000000000001,0.032,129.87659,20.069,61.0,KW182  ,211988531,1.3,10.13,8.81, 7.22, 0.7182,0,Y, 0.00913,       ,       , ,N,Y,N,cand, 0.01312, 0.59720,D,10.17,2,1,All,2M,Simbad,129.876756,20.069053,7.22,211988531,9.1400003,0.041000001,8.838999699999999,0.028999999,8.8070002,0.017999999
