,KIC,source_id_vansaders,plx,plxe,g_final,g_final_err,g_prov_final,r_final,r_final_err,r_prov_final,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[Fe/H]i,n_[Fe/H]i,_RA,_DE,AMP_mass,AMP_mass_err,AMP_age,AMP_age_err,AMP_logg,AMP_ZAMS_teff,BASTA_mass,BASTA_mass_err,BASTA_age,BASTA_age_err,BASTA_ZAMS_teff,teff_vansaders,teff_err,feh_vansaders,feh_err,period,period_err,note,designation,source_id_kic,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,ecl_lon,ecl_lat,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,kepid,ra_kic,dec_kic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_designation,kepmag,teff_kic,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh_kic,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_ang_dist,KIC_ceillier_serenelli,delta_nu,delta_nu_err,Teff,Teff_err,Prot,Prot_err,Mass,Mass_err,Radius,Radius_err,logg_ceillier_serenelli,logg_err,Age,Age_err,numax,e_numax,Dnu,e_Dnu,Length,HBR,KCat,Sloan,Simbad,_RA_ceillier_serenelli,_DE_ceillier_serenelli,S,numax_chaplin,e_numax_chaplin,Dnu_chaplin,e_Dnu_chaplin,T(SDSS),e_T(SDSS),T(IRFM),e_T(IRFM),[Fe/H],e_[Fe/H],KICdata,Simbad_chaplin,_RA_chaplin,_DE_chaplin,G,bp,rp,G_err,bp_err,rp_err,Av,Av_errp,Av_errm,Av_std,eep,Ro,sigma
0,3427720,2.0999854028153687e+18,0.010687899999999998,2.6300000000000002e-05,9.3961558,0.0328329173511,g_kic_fixed,9.0272348,0.0358292240138,r_kic_fixed,8.094,0.02,7.843,0.016,7.8260000000000005,0.017,-0.06,SPE,286.4386,38.52293,1.13,0.04,2.23,0.17,4.388,5985,1.12,0.02,2.22,0.31,6019.0,6040,84,-0.03,0.09,13.9,2.1,seismic,Gaia DR2 2099985402815368704,2.0999854028153687e+18,2015.5,286.4382560026279,0.02100619153316355,38.522628356933474,0.02419880055721204,10.657861664233375,0.026320744172206166,404.9225158691406,-60.75043864767491,0.04472276879592119,-70.83935395045181,0.0445468952038209,-0.17157216370105743,-0.15811721980571747,-0.12371660768985748,0.18303553760051727,0.31198275089263916,0.1598425954580307,-0.22056220471858978,-0.055608149617910385,-0.051583144813776016,-0.04471561685204506,469.77252197265625,0.0,0.0,1.0,1.0,4568707.598729983,827.9565406159188,9.0388822555542,2525473.174345465,2647.8352814314226,9.345531463623047,2907134.636760797,2691.8899822671915,8.603257179260254,0.742274284362793,0.30664920806884766,0.4356250762939453,-22.605845889125145,0.3324237764598984,NOT_AVAILABLE,69.37427978183237,13.918077692930606,296.6726352486656,60.44874108998737,5977.0,5878.0,6040.0,0.052000001072883606,0.00559999980032444,0.20010000467300415,0.026000000536441803,0.006599999964237213,0.07989999651908875,1.1694729328155518,1.1452038288116455,1.209198236465454,1.5725630521774292,1.5660393238067627,1.5790867805480957,3427720.0,286.4386,38.52293,93.5739158519492,93.3422833888332,93.8066802661857,889.681306694173,1.0,1.0,2MASS J19054526+3831225,9.109,6045.0,81.0,-81.0,SPE72,4.378,0.012,-0.012,AST10,-0.04,0.15,-0.15,SPE72,1.092,0.041,-0.041,1.035,0.079,-0.063,DSEP,0.0,0.0,0.0,8.094,7.843,7.826,none,0.029799940384137285,3427720,119.9,2.0,6040,84,13.94,2.15,1.13,0.04,1.13,0.01,4.388,0.003,2.23,0.17,2726.381,56.766999999999996,120.045,0.12,963.8,1.125,KCat,Sloan,Simbad,286.43859,38.52293,S,2756,191,119.9,2.0,6023, 51,6107,142,-0.2,0.3,KICdata,Simbad,286.4386,38.52293,9.0388822555542,9.345531463623047,8.603257179260254,0.0003,0.002,0.002,0.0,0.0,0.0,0.5,344.8492240905762,1.1577719793607126,0.0001096864160666807
1,3656476,2.0521845127646303e+18,0.008715299999999999,2.54e-05,9.9014448,0.0289895393676,g_kic_fixed,9.4363172,0.0325153340734,r_kic_fixed,8.382,0.024,8.083,0.023,8.008,0.017,0.25,SPE,294.20331,38.71578,1.17,0.03,8.13,0.59,4.246,5642,1.07,0.01,7.68,0.42,5525.0,5710,84,0.25,0.09,31.7,3.5,seismic,Gaia DR2 2052184512764630272,2.0521845127646303e+18,2015.5,294.2039287839221,0.019734450799456606,38.71591251963522,0.02373735769272138,8.685325993096063,0.02542876594999329,341.5551452636719,97.57132845570433,0.04061028865033303,32.101695689676106,0.04424244189625503,0.07632815837860107,0.1245444267988205,-0.18739648163318634,-0.09907570481300354,0.23738420009613037,-0.14070843160152435,-0.42140406370162964,-0.32000160217285156,-0.10182078927755356,0.01000621821731329,389.8197021484375,0.0,0.0,1.0,0.0,3063748.91831298,592.8402278126536,9.472732543945312,1583874.9832013717,1714.1439090360284,9.852086067199707,2074824.496012923,2285.7624644499456,8.969466209411621,0.8826198577880859,0.37935352325439453,0.5032663345336914,-13.255709092019874,0.34406808884232676,NOT_AVAILABLE,72.25349773124802,8.5459384755842,308.3626235466496,58.9738450238251,5581.5,5496.0,5650.0,0.4165000021457672,0.30889999866485596,0.6032999753952026,0.2117999941110611,0.14650000631809235,0.3059999942779541,1.3642832040786743,1.3314028978347778,1.407060980796814,1.6274492740631104,1.6193463802337646,1.635552167892456,3656476.0,294.20331,38.715778,114.755464795587,114.419054216231,115.093824059717,1951.30319711706,1.0,1.0,2MASS J19364879+3842568,9.516,5666.0,76.0,-76.0,SPE72,4.224,0.009,-0.007,AST10,0.26,0.15,-0.15,SPE72,1.299,0.055,-0.044,1.031,0.097,-0.065,DSEP,0.0,0.0,0.0,8.382,8.083,8.008,none,0.22615961573198629,3656476,93.3,1.3,5710,84,31.67,3.53,1.09,0.01,1.32,0.03,4.24,0.004,7.71,0.22,1932.4,23.744,93.305,0.079,783.3,1.371,KCat,Sloan,Simbad,294.20339,38.71577,S,1887, 40,93.3,1.3,5684, 56,5738,130,-0.2,0.3,KICdata,Simbad,294.20331,38.715778,9.472732543945312,9.852086067199707,8.969466209411621,0.0003,0.002,0.002,0.0,0.0,0.0,0.5,400.0,2.787191600651327,0.4621729070830392
2,5184732,2.1014930394180014e+18,0.0144596,3.5600000000000005e-05,8.513602800000001,0.0401932400239,g_kic_fixed,8.068673200000001,0.0441081969802,r_kic_fixed,7.119,0.02,6.893,0.021,6.821000000000001,0.016,0.36,SPE,291.12637,40.32326,1.27,0.04,4.17,0.4,4.27,5905,1.18,0.02,4.05,0.42,5810.0,5840,84,0.38,0.09,19.8,2.4,seismic,Gaia DR2 2101493039418001536,2.1014930394180014e+18,2015.5,291.1264892725591,0.02864029517650344,40.32306741584772,0.03171327862636331,14.429555943489305,0.03557707017768168,405.5858459472656,6.290544538547016,0.06558426983425136,-40.546622319043486,0.060597630680574166,-0.041541896760463715,0.10350394248962402,-0.15907905995845795,0.07691813260316849,0.3921208381652832,0.08413145691156387,-0.28236156702041626,-0.04221920296549797,-0.16712422668933868,-0.1562502235174179,329.4731140136719,0.0,1.985058292375408e-15,1.0,0.0,10285515.067210605,2995.4384994875804,8.157800674438477,5435006.072679766,6514.2382786792605,8.513387680053711,6776355.027168072,9562.763113959667,7.68442964553833,0.8289580345153809,0.3555870056152344,0.4733710289001465,15.527053824927828,0.15161031881372028,NOT_AVAILABLE,72.60984984005765,11.390901700752465,304.8200972386452,61.233051733678955,5766.5,5740.0,5790.25,0.4016999900341034,0.1527000069618225,0.7300999760627747,0.19499999284744263,0.061900001019239426,0.36399999260902405,1.399869680404663,1.3884094953536987,1.412825107574463,1.952176570892334,1.9448604583740234,1.9594926834106445,5184732.0,291.12637,40.323261,69.1640134263914,68.9929633396265,69.3358986318411,1188.94473857364,1.0,1.0,2MASS J19243033+4019237,8.165,5835.0,79.0,-79.0,SPE72,4.257,0.01,-0.008,AST10,0.36,0.1,-0.15,SPE72,1.326,0.024,-0.044,1.159,0.038,-0.067,DSEP,0.0,0.0,0.0,7.119,6.893,6.821,none,0.2398281450879124,5184732,95.7,1.3,5840,84,19.79,2.43,1.25,0.01,1.36,0.01,4.27,0.005,3.98,0.11,,,,,,,,,,,,S,2068, 47,95.7,1.3,5841,290,5818,190,-0.2,0.3,KICdata,Simbad,291.12637,40.323260999999995,8.157800674438477,8.513387680053711,7.68442964553833,0.0003,0.002,0.002,0.0,0.0,0.0,0.5,390.64510345458984,1.9822176973661105,0.4999540314897736
3,6116048,2.1014798796386834e+18,0.0133973,2.94e-05,8.686419,0.0387037711904,g_kic_fixed,8.3251936,0.0418380234685,r_kic_fixed,7.438,0.044000000000000004,7.178999999999999,0.026000000000000002,7.121,0.017,-0.23,SPE,289.44318,41.41018,1.01,0.03,6.23,0.37,4.27,5838,1.06,0.02,5.54,0.34,5943.0,5935,84,-0.24,0.09,17.3,2.0,seismic,Gaia DR2 2101479879638683392,2.1014798796386834e+18,2015.5,289.44288473735287,0.023221166326751905,41.41055332021363,0.03275317336537533,13.3673175274146,0.029415850253472257,454.4256591796875,-46.68140958052163,0.04692292326790804,74.47744070362143,0.05699064937243298,-0.10281722247600555,-0.03520605340600014,-0.14076094329357147,-0.07113318890333176,0.22537769377231598,-0.14029395580291748,-0.40811365842819214,-0.20179763436317444,0.05793764442205429,-0.05703188106417656,357.50567626953125,0.0,0.0,0.0,1.0,8460765.67280219,2585.583135778224,8.369841575622559,4690552.67654636,5518.013447696872,8.673328399658203,5361383.496644044,7458.550042737284,7.938727855682373,0.7346005439758301,0.30348682403564453,0.43111371994018555,-53.17274986971897,0.23429488904822232,NOT_AVAILABLE,73.0546632708302,13.00782405346386,302.9096912829869,62.64598716642618,5980.0,5791.625,6076.5,0.289000004529953,0.14669999480247498,0.3644999861717224,0.14300000667572021,0.08590000122785568,0.17599999904632568,1.2675418853759766,1.227602243423462,1.3513375520706177,1.8510754108428955,1.8444775342941284,1.8576732873916626,6116048.0,289.44318,41.410179,74.6480717127827,74.4832841686848,74.8135770246329,967.757354156565,1.0,1.0,2MASS J19174635+4124366,8.418,6031.0,72.0,-84.0,SPE72,4.269,0.008,-0.008,AST10,-0.26,0.2,-0.15,SPE72,1.19,0.043,-0.038,0.959,0.068,-0.055,DSEP,0.0,0.0,0.0,7.438,7.179,7.121,none,0.206728031807958,6116048,100.9,1.4,5935,84,17.26,1.96,1.01,0.03,1.22,0.01,4.27,0.006999999999999999,6.23,0.37,2102.099,24.883000000000003,100.891,0.08900000000000001,1048.0,1.804,KCat,Sloan,Simbad,289.44315,41.41023,S,2107, 40,100.9,1.4,6072, 49,6024,208,-0.2,0.3,KICdata,Simbad,289.44318,41.410179,8.369841575622559,8.673328399658203,7.938727855682373,0.0003,0.002,0.002,0.0,0.0,0.0,0.5,409.86454010009766,1.2147727303855356,0.4411365123033791
4,6521045,2.1017332440462054e+18,0.0032836999999999996,1.88e-05,11.528866,0.020547426228,g_kic_fixed,11.091906,0.0219650511332,r_kic_fixed,10.081,0.021,9.804,0.017,9.767999999999999,0.013999999999999999,0.102,SPE,291.38599,41.99027,1.04,0.02,6.24,0.37,4.118,5933,1.11,0.02,6.5,0.51,5886.0,5825,75,0.02,0.1,25.3,2.8,KOI,Gaia DR2 2101733244046205568,2.1017332440462054e+18,2015.5,291.38612939263993,0.01566982869263179,41.99013944830084,0.018860868587934395,3.2536975819578595,0.018753130168645354,173.50157165527344,19.907733766387448,0.034231450224206844,-28.527040129537873,0.03642800198217695,-0.022427888587117195,0.023475103080272675,-0.15232138335704803,-0.009707912802696228,0.1094360426068306,-0.030849043279886246,-0.3486829698085785,-0.16961687803268433,-0.06075633317232132,-0.005246140528470278,579.255615234375,0.0,0.0,1.0,0.0,666208.4869388973,227.8871018164176,11.129340171813965,356519.1397372203,374.9487507871159,11.47118091583252,441297.8631092864,177.45619460990994,10.650090217590332,0.8210906982421875,0.3418407440185547,0.4792499542236328,-60.44126933806466,0.941314801738439,NOT_AVAILABLE,74.22763101123299,11.945154283999827,306.30777192704596,62.759413124894785,5622.43359375,5511.115234375,5757.25,0.7735000252723694,0.6082000136375427,1.0846999883651733,0.39899998903274536,0.30730000138282776,0.5400999784469604,1.6706578731536865,1.593330979347229,1.738830327987671,2.512852907180786,2.485194683074951,2.540511131286621,6521045.0,291.38599,41.990269,304.6446982925,302.901009987679,306.408216743554,1121.85166625411,1.0,1.0,2MASS J19253263+4159249,11.197,5788.0,78.0,-78.0,SPE72,4.122,0.033,-0.027,AST69,0.1,0.15,-0.15,SPE72,1.474,0.094,-0.079,1.05,0.126,-0.068,DSEP,3.0,3.0,3.0,10.081,9.804,9.768,conf,0.06881106463199112,6521045,77.0,1.1,5825,75,25.34,2.78,1.04,0.02,1.47,0.01,4.118,0.016,6.24,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,11.129340171813965,11.47118091583252,10.650090217590332,0.0003,0.002,0.002,0.10967999754846096,0.0,0.0,0.5,401.9322395324707,1.8563372070693165,0.00022019396895934734
5,7680114,2.126060458508753e+18,0.0058406000000000005,2.33e-05,10.4182344,0.025498985104,g_kic_fixed,9.978166400000001,0.0284390771758,r_kic_fixed,9.012,0.037000000000000005,8.725,0.024,8.673,0.011000000000000001,0.05,SPE,290.98502,43.31459,1.13,0.03,7.19,0.7,4.184,5801,,,,,,5855,84,0.11,0.09,26.3,1.9,seismic,Gaia DR2 2126060458508752768,2.126060458508753e+18,2015.5,290.98527476094137,0.01876607842856643,43.314865735591106,0.02642173753888283,5.810567621337408,0.023311281683142716,249.2598876953125,38.403078229287615,0.04108373406105846,63.34105429091095,0.049353490228493085,-0.045476045459508896,0.0692787766456604,-0.18174812197685242,-0.04282816872000694,-0.001378196175210178,-0.04009623825550079,-0.45096367597579956,-0.21210022270679474,-0.09274470061063766,-0.04802310839295387,398.54388427734375,0.0,0.0,0.0,0.0,1846301.078415653,437.9950465643905,10.02260971069336,988834.7351794778,864.5422551245723,10.363578796386719,1210788.814962259,1383.1242346385484,9.554248809814453,0.8093299865722656,0.3409690856933594,0.46836090087890625,-58.74058711136187,0.4014498793292566,NOT_AVAILABLE,75.31968819044774,12.78415592361806,306.6360499709948,64.10858415075272,5831.75,5754.33349609375,5858.75,0.47600001096725464,0.23330000042915344,0.640999972820282,0.2370000034570694,0.10670000314712524,0.3190999925136566,1.4373235702514648,1.4241063594818115,1.4762580394744873,2.1527788639068604,2.1376149654388428,2.167942762374878,7680114.0,290.98502,43.31459,171.250554366988,170.564482134892,171.942069216986,1018.02748925321,1.0,1.0,2MASS J19235640+4318525,10.066,5796.0,87.0,-69.0,SPE72,4.178,0.01,-0.01,AST10,0.06,0.15,-0.15,SPE72,1.36,0.069,-0.048,1.017,0.093,-0.067,DSEP,0.0,0.0,0.0,9.012,8.725,8.673,none,0.07287898020790998,7680114,85.1,1.3,5855,84,26.31,1.86,1.19,0.01,1.45,0.03,4.1819999999999995,0.003,5.92,0.2,1709.994,20.423,85.169,0.083,838.6,1.329,KCat,Sloan,Simbad,290.98505,43.31459,S,1684, 47,85.1,1.3,5800, 56,5955,142,-0.2,0.3,KICdata,Simbad,290.98502,43.31459,10.02260971069336,10.363578796386719,9.554248809814453,0.0003,0.002,0.002,0.2056499979570508,0.009322798055112352,0.009322798055112352,0.009322798055112352,459.9580192565918,2.190604536488255,3.840632577128075
6,8006161,2.1172790027326787e+18,0.0370083,3.18e-05,7.8820228000000006,0.04577962015980001,g_kic_fixed,7.219495200000001,0.0518200985553,r_kic_fixed,6.087999999999999,0.021,5.751,0.016,5.67,0.021,0.34,SPE,281.14645,43.83331,1.04,0.02,5.04,0.17,4.502,5165,0.948,0.005,5.08,0.1,5250.0,5390,84,0.34,0.09,29.8,3.1,seismic,Gaia DR2 2117279002732678656,2.1172790027326787e+18,2015.5,281.1456996377499,0.025915916700741542,43.83326685548802,0.02833498310933009,36.97834276367315,0.031765990131585896,1164.0859375,-105.6307986919796,0.05427177060476495,-1.8332971972480263,0.05869250604419468,-0.031000740826129913,0.007787429727613926,-0.01085128728300333,-0.12364303320646286,0.346779465675354,-0.19399510324001312,-0.18014194071292877,-0.3113709092140198,-0.1649198979139328,-0.10679014027118683,351.4937438964844,0.0,0.0,1.0,0.0,22396226.151775587,4608.467167803318,7.312928676605225,10986594.162263278,15162.797893558101,7.74923038482666,15759832.720195893,44013.930989968634,6.768041133880615,0.9811892509460449,0.43630170822143555,0.5448875427246094,-45.575828408694846,0.1395165345561966,NOT_AVAILABLE,73.00245711097105,19.572365759586553,290.4542241809894,66.48290188140328,5276.66650390625,5187.0,5375.0,0.17630000412464142,0.016899999231100082,0.382999986410141,0.08169999718666077,0.0052999998442828655,0.20999999344348907,0.9865279793739319,0.9507619142532349,1.020930528640747,0.6797545552253723,0.678825855255127,0.6806832551956177,8006161.0,281.14645,43.833309,27.0217036843741,26.9983548029051,27.0450922687638,854.633292542113,1.0,1.0,2MASS J18443514+4349599,7.364,5478.0,73.0,-82.0,SPE72,4.487,0.009,-0.011,AST10,0.32,0.1,-0.15,SPE72,0.943,0.02,-0.026,0.993,0.036,-0.051,DSEP,0.0,0.0,0.0,6.088,5.751,5.67,none,0.334902049459767,8006161,149.3,1.8,5390,84,29.79,3.09,1.04,0.02,0.95,0.01,4.502,0.002,5.04,0.17,,,,,,,,,,,,S,3481,133,149.3,1.8,5264,104,5354,130,-0.2,0.3,KICdata,Simbad,281.14645,43.833309,7.312928676605225,7.74923038482666,6.768041133880615,0.0003,0.002,0.002,0.0,0.0,0.0,0.5,364.7575378417969,2.1865157616863886,0.4995445630289544
7,8349582,2.106705269988803e+18,0.0022454000000000003,2.8499999999999998e-05,12.726102599999999,0.0212772765779,g_kic_fixed,12.2397828,0.020143226631200002,r_kic_fixed,11.21,0.021,10.867,0.019,10.800999999999998,0.017,0.268,SPE,284.48245,44.39804,1.19,0.04,7.93,0.94,4.178,5695,1.07,0.02,8.03,0.75,5630.0,5699,74,0.3,0.1,51.0,1.5,KOI,Gaia DR2 2106705269988803072,2.106705269988803e+18,2015.5,284.48242810241123,0.0246701512585535,44.39789102309786,0.037191608317896634,2.2154203126615464,0.028536591558853738,77.63436889648438,-4.004421011307824,0.047411917966641445,-26.41112163521241,0.06341437190294434,-0.3130342364311218,-0.4320250451564789,-0.3224761486053467,0.21194793283939362,0.372988760471344,0.10831192135810852,-0.7155723571777344,-0.05196467414498329,-0.17557604610919952,-0.13202349841594696,231.94082641601562,0.0,0.0,1.0,0.0,225733.44071043885,37.124581932668,12.304375648498535,117018.71074108305,168.689689804037,12.680749893188477,154948.09287991078,150.18680952831815,11.786454200744629,0.8942956924438477,0.3763742446899414,0.5179214477539062,-29.59574031028683,0.956715347762088,NOT_AVAILABLE,74.43258131447529,17.518475573303242,296.6266519402757,66.50351311268689,5514.33349609375,5417.2724609375,5700.0,0.6291999816894531,0.3788999915122986,0.8539999723434448,0.34049999713897705,0.21289999783039093,0.4250999987125397,1.4920684099197388,1.3964489698410034,1.5460139513015747,1.85457444190979,1.815614938735962,1.8935339450836182,8349582.0,284.48245,44.398041,445.655641834877,440.016065871359,451.438999063655,849.031962792031,1.0,1.0,2MASS J18575579+4423529,12.346,5644.0,84.0,-75.0,SPE72,4.162,0.033,-0.03,AST69,0.3,0.15,-0.15,SPE72,1.411,0.091,-0.073,1.053,0.115,-0.057,DSEP,1.0,1.0,1.0,11.21,10.867,10.801,conf,0.1306711886017714,8349582,83.6,1.4,5699,74,51.02,1.45,1.19,0.04,1.47,0.05,4.178,0.003,7.93,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,12.304375648498535,12.680749893188477,11.786454200744629,0.0003,0.002,0.002,0.15080999918282031,0.027968401111364338,0.02796840111136438,0.02796840111136436,400.0,4.604867241594911,0.49675557086994704
8,9098294,2.0799848052725683e+18,0.0082097,2.4299999999999998e-05,10.0506163,0.0279286534044,g_kic_fixed,9.676289599999999,0.0306588160617,r_kic_fixed,8.722999999999999,0.024,8.42,0.026000000000000002,8.363999999999999,0.012,-0.18,SPE,295.08835,45.48915,1.0,0.03,7.28,0.51,4.314,5718,1.01,0.02,6.93,0.57,5734.0,5840,84,-0.13,0.09,19.8,1.3,seismic,Gaia DR2 2079984805272568192,2.0799848052725683e+18,2015.5,295.0884676305697,0.02069673427036113,45.48945152118328,0.027879422304879352,8.179699235646968,0.024257029962646382,337.2094421386719,14.528458669012164,0.044959080132553356,68.68143979139884,0.05452812898387583,0.11088259518146515,-0.037849996238946915,-0.3191812336444855,-0.10669583082199097,0.2058471292257309,-0.11198796331882477,-0.5277419686317444,-0.0797610878944397,0.03627098351716995,0.07932636141777039,579.2178955078125,0.0,0.6008121922913222,0.0,0.0,2471413.284596101,421.7119169356093,9.706002235412598,1338361.7982759122,1725.594748556146,10.034954071044922,1604171.4390155443,2061.6530159539525,9.24879264831543,0.7861614227294922,0.3289518356323242,0.45720958709716797,-43.5255086457863,14.337977251954912,NOT_AVAILABLE,78.64408691335416,11.128729252839904,314.84689025455816,65.07019103490445,5822.33349609375,5744.39990234375,5880.0,0.16949999332427979,0.008899999782443047,0.2619999945163727,0.10499999672174454,0.02969999983906746,0.1379999965429306,1.1854256391525269,1.1622881889343262,1.2178088426589966,1.4548949003219604,1.447431206703186,1.4623585939407349,9098294.0,295.08835,45.489151,121.824007893999,121.462360701571,122.187776594632,1290.09873821457,1.0,1.0,2MASS J19402120+4529209,9.758,5858.0,70.0,-79.0,SPE72,4.3,0.012,-0.01,AST10,-0.18,0.15,-0.15,SPE72,1.129,0.041,-0.041,0.927,0.065,-0.058,DSEP,0.0,0.0,0.0,8.723,8.42,8.364,none,0.07374415225592071,9098294,108.8,1.7,5840,84,19.79,1.33,1.0,0.03,1.15,0.01,4.314,0.008,7.28,0.51,2327.298,29.430999999999997,109.12,0.11699999999999999,1049.5,1.173,KCat,Sloan,Simbad,295.08838,45.48916,S,2233, 75,108.8,1.7,6020, 51,5972,146,-0.2,0.3,KICdata,Simbad,295.08835,45.489151,9.706002235412598,10.034954071044922,9.24879264831543,0.0003,0.002,0.002,0.0,0.0,0.0,0.5,415.1015853881836,1.3698253224194945,0.016746238927641946
9,9139151,2.1068221317568415e+18,0.0097366,2.49e-05,9.4349454,0.032526151172500004,g_kic_fixed,9.091138800000001,0.0353008122865,r_kic_fixed,8.238,0.032,7.968,0.018000000000000002,7.952000000000001,0.016,0.1,SPE,284.08859,45.51475,1.14,0.03,1.71,0.19,4.376,6092,1.16,0.02,1.79,0.46,6019.0,6125,84,0.11,0.09,11.0,2.2,seismic,Gaia DR2 2106822131756841600,2.1068221317568415e+18,2015.5,284.08873848812976,0.02177406431878243,45.51504132966575,0.023113295370550884,9.706618199343364,0.02486939744828573,390.3037109375,22.201971848205176,0.0455275657914124,59.08379215199486,0.04675787602014921,-0.1434105485677719,-0.3767339289188385,-0.1499604433774948,0.1384996771812439,0.2720399796962738,0.07555076479911804,-0.32497745752334595,-0.10202977061271667,-0.11871936172246933,-0.02486221306025982,521.887451171875,0.0,0.0,1.0,0.0,4139961.6788457376,935.2027828316387,9.145874977111816,2296294.9877538118,3284.999251822326,9.448819160461426,2614721.468685219,2713.477869820018,8.718356132507324,0.7304630279541016,0.3029441833496094,0.4275188446044922,-28.345844540737936,0.1592730640612214,NOT_AVAILABLE,75.42556684644543,18.175924931350124,296.65754945322453,67.65480961999206,6000.0,5919.14990234375,6178.0,0.08250000327825546,0.0066999997943639755,0.274399995803833,0.023800000548362732,0.0032999999821186066,0.14869999885559082,1.2124488353729248,1.1435893774032593,1.2457969188690186,1.716431736946106,1.7088878154754639,1.723975658416748,9139151.0,284.08859,45.514751,102.716872732009,102.453178058999,102.981904072353,842.631314282467,1.0,1.0,2MASS J18562126+4530531,9.181,6299.0,62.0,-81.0,SPE72,4.378,0.011,-0.013,AST10,0.08,0.1,-0.15,SPE72,1.17,0.028,-0.042,1.196,0.03,-0.084,DSEP,0.0,0.0,0.0,8.238,7.968,7.952,none,0.132926058817648,9139151,117.2,2.1,6125,84,10.96,2.22,1.14,0.03,1.15,0.01,4.376,0.013000000000000001,1.71,0.19,2687.23,44.996,117.249,0.16,1010.5,1.2309999999999999,KCat,Sloan,Simbad,284.0886,45.514790000000005,S,2705,163,117.2,2.1,6134, 48,6204,151,-0.2,0.3,KICdata,Simbad,284.08859,45.514751000000004,9.145874977111816,9.448819160461426,8.718356132507324,0.0003,0.002,0.002,0.0,0.0,0.0,0.5,335.0690460205078,0.9288156431276696,0.005499419377591858
