,Unnamed: 0,source_id,designation,gaia_ref_epoch,ra_gaia,ra_error,dec_gaia,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,ecl_lon,ecl_lat,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,kepid,tm_designation,ra_kepler,dec_kepler,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,planet?,kepler_gaia_ang_dist,id,KIC,B-V,prot,prot_err,RAJ2000,DEJ2000,ra_kepler.1,dec_kepler.1,G,bp,rp,G_err,bp_err,rp_err,G_dered,bp_dered,rp_dered
0,0,2076299100558429568,Gaia DR2 2076299100558429568,2015.5,295.2822886025959,0.09073582961267353,40.098596048816205,0.10655077543067988,0.4738870735738726,0.10845838747349427,4.3692985,-2.4615981918866865,0.20339429208435653,-3.764811211506762,0.20274137953437613,0.08928604400000001,0.03554736,-0.18384658,-0.065381445,0.1769248,-0.07599596,-0.29301932,-0.09303963,-0.10374733,0.015989081999999998,240.38036,0.0,0.0,False,False,1080.8791773603214,1.5705435069784923,18.103924,499.01702911848906,9.352480988937923,18.6061,890.9639594878349,10.05408572104746,17.38727,1.2188301000000001,0.5021763,0.7166538,0.0,,NOT_AVAILABLE,73.883814428928,8.467484351133747,310.80672333424815,60.006722123481815,,,,,,,,,,,,,,,,2084.92482970994,1641.10509481966,2837.14097076493,1982.1261252731897,1,1,4936891,2MASS J19410775+4005553,295.28232,40.098709,18.076,5327,190,-190,PHO1,4.646,0.03,-0.096,KIC0,-0.5,0.3,-0.3,KIC0,0.6809999999999999,0.10800000000000001,-0.046,0.772,0.07200000000000001,-0.081,DSEP,0,0,0,16.544,16.267,15.81,none,0.4157148578097417,77.0,4936891,0.85,21.98,0.81,19 41 07.75,40 05 55.0,295.28229166666665,40.09861111111111,18.103924,18.6061,17.38727,0.01,0.2,0.2,17.732492953823897,18.1228482568864,17.114989260737566
1,1,2076298207205146240,Gaia DR2 2076298207205146240,2015.5,295.3328881002657,0.09022185971710832,40.09434256404798,0.11007739208991812,0.4170010792658356,0.10858291885756978,3.840393,-3.1548803540678168,0.2020948521192328,-3.987292625451892,0.21175851856468247,0.062106173,0.063724056,-0.19209588,-0.08203464,0.18719946,-0.094821095,-0.35718596,-0.10880325,-0.08613725,-0.0019889274,259.90564,0.0,0.0,False,False,1063.9195900155448,1.5303292094261032,18.121094,476.7471775313553,5.623515567609174,18.655668,865.5405671980824,8.438540198093344,17.418701000000002,1.2369671,0.5345745,0.7023925999999999,0.0,,NOT_AVAILABLE,73.8987236479014,8.431445329967929,310.87662618739984,59.98955945248667,,,,,,,,,,,,,,,,2362.25080577064,1797.92280659432,3393.35577725492,1992.07287014143,1,1,4937119,2MASS J19411991+4005398,295.33295,40.094409999999996,18.164,5410,212,-191,PHO1,4.513999999999999,0.08,-0.12,KIC0,-0.26,0.3,-0.3,KIC0,0.8140000000000001,0.153,-0.094,0.79,0.10400000000000001,-0.07,DSEP,0,0,0,16.54,15.807,15.937000000000001,none,0.2966420134638979,95.0,4937119,0.87,23.28,0.77,19 41 19.90,40 05 39.7,295.3329166666667,40.09436111111111,18.121094,18.655668,17.418701000000002,0.01,0.2,0.2,17.75092711004048,18.173281295608103,17.146658356449464
2,2,2076298211512782208,Gaia DR2 2076298211512782208,2015.5,295.3397746410258,0.07750813008476683,40.08918115124354,0.09519119325380317,0.03619415216527945,0.09772993444157904,0.37034870000000003,-3.2262179080604394,0.1884427365526542,-3.8350999716564864,0.2022250954935033,0.071861126,0.13178232,-0.0072763804,-0.03582746,0.21486232,-0.0065946686,-0.22188883,0.10114192,-0.030140632999999997,0.013431751,280.2959,0.2210039714788555,0.6090375191322206,False,False,1458.729105265976,1.713976650996926,17.778429,681.3889606936214,7.974471774484536,18.2679,1160.4625799784192,11.281003510790667,17.100342,1.1675587,0.48947144,0.67808723,0.0,,NOT_AVAILABLE,73.89668487445716,8.424351116831282,310.8830184016345,59.982913283200034,,,,,,,,,,,,,,,,6655.936824639879,4522.68813967591,10149.6466034731,1994.09649439341,1,1,4937149,2MASS J19412154+4005212,295.33977999999996,40.089240999999994,17.739,5596,197,-197,PHO1,4.535,0.044000000000000004,-0.17600000000000002,KIC0,-0.02,0.25,-0.3,KIC0,0.865,0.22899999999999998,-0.08199999999999999,0.935,0.10400000000000001,-0.10400000000000001,DSEP,0,0,0,16.187,16.005,15.252,none,0.21596046753290216,99.0,4937149,0.8,21.68,0.63,19 41 21.54,40 05 21.1,295.33975,40.08919444444445,17.778429,18.2679,17.100342,0.01,0.2,0.2,17.403399958747816,17.78216798043123,16.827401200687234
3,3,2076298589469910784,Gaia DR2 2076298589469910784,2015.5,295.3441993773373,0.05855754249661645,40.095687894044005,0.07236733615498994,0.28112841869108435,0.07285829995587723,3.8585641,-3.061454920967376,0.13319020019811667,-3.5262472322156073,0.14722493823728885,0.07681046400000001,0.10859462,-0.17224908,-0.033963535,0.23566959999999998,-0.04456377,-0.28606042,-0.054184154000000005,-0.0108044455,0.04295153,261.90445,0.0,0.0,False,False,2108.5823423002394,1.8383538595289208,17.37839,1004.0736367741408,7.733758114757133,17.846973000000002,1603.5805257248705,11.831041626837873,16.749192999999998,1.0977801999999999,0.46858406,0.62919617,0.0,,NOT_AVAILABLE,73.90409815204488,8.424487075267638,310.89380864988243,59.98787942181318,,,,,,,,,,,,,,,,3289.3512381275,2587.26240201181,4452.52278343741,1993.94508856691,1,1,4937169,2MASS J19412261+4005443,295.34421000000003,40.095661,17.41,6053,217,-299,PHO1,4.364,0.09,-0.21,KIC0,0.46,0.05,-0.3,KIC0,1.206,0.389,-0.16699999999999998,1.228,0.16399999999999998,-0.18,DSEP,0,0,0,15.972000000000001,15.692,15.192,none,0.1011415358774381,100.0,4937169,0.7,19.62,,19 41 22.61,40 05 44.6,295.3442083333333,40.09572222222222,17.37839,17.846973000000002,16.749192999999998,0.01,0.2,0.01,16.998407884402695,17.357793516880854,16.47538401984919
4,4,2076295527145521792,Gaia DR2 2076295527145521792,2015.5,295.38787656932686,0.092441646120826,40.0867531814681,0.13043195706926095,0.291694871173855,0.12453763788954078,2.3422227,-3.1788338593270287,0.20603097640130288,-3.5883077243577346,0.2391222310221231,0.11525734,0.14173737,-0.16045909,-0.097347654,0.32533476,-0.11652602,-0.20299494,-0.06968301,-0.06900139999999999,0.07403565,208.16977,0.0,0.0,False,False,1048.2967357474836,1.5012666703190205,18.137156,471.8982108552218,11.29835256605514,18.666767,892.3132085331121,10.635472518922823,17.385626000000002,1.2811413,0.5296116,0.7515297,0.0,,NOT_AVAILABLE,73.91231397822649,8.390867690712888,310.95051718504857,59.96809849075154,,,,,,,,,,,,,,,,3303.4405009158504,2233.61179378746,5621.72255132004,2003.21972318952,1,1,4937356,2MASS J19413308+4005126,295.38785,40.086861,18.084,5927,266,-239,PHO1,4.016,0.465,-0.18600000000000003,KIC0,-0.46,0.3,-0.3,KIC0,1.5619999999999998,0.446,-0.669,0.922,0.135,-0.11,DSEP,0,0,0,16.374000000000002,15.639000000000001,15.309000000000001,none,0.3949847828467463,119.0,4937356,0.89,21.23,1.73,19 41 33.09,40 05 12.4,295.38787499999995,40.08677777777778,18.137156,18.666767,17.385626000000002,0.01,0.2,0.2,17.770048916241166,18.18645734371438,17.114173528410166
5,5,2076373115740869248,Gaia DR2 2076373115740869248,2015.5,295.73273501789987,0.023601085219894232,40.00549304985272,0.02811451672306724,0.3671153043576834,0.02997060883596708,12.249177,-2.7618001804768904,0.05204228391952387,-4.080498108786344,0.051518462460302096,0.03867659,0.053394925,-0.19609110000000002,-0.010546058,0.33790782,-0.05467278,-0.20552388,-0.14096554,-0.06216954400000001,0.007960589,211.41567999999998,0.0,0.0,False,False,10480.879202987657,4.433633802214303,15.637371,5617.426712916777,20.480151655456158,15.977545000000001,7151.159068472082,12.525628119190626,15.125978,0.8515663,0.34017372,0.5113926,0.0,,NOT_AVAILABLE,73.96830732467623,8.12026167339921,311.389546161051,59.801437073406156,5788.0,5573.75,6576.673000000001,,,,,,,1.7422282,1.3494276,1.8787417000000002,3.0691552000000004,2.461056,3.6772544000000003,2535.8647525732104,2352.7246195730604,2749.1815184846696,2075.4531504447896,1,1,4938993,2MASS J19425585+4000199,295.73273,40.005539,15.67,6268,174,-261,PHO1,4.428999999999999,0.052000000000000005,-0.195,KIC0,0.07,0.25,-0.35,KIC0,1.1,0.335,-0.134,1.188,0.141,-0.17300000000000001,DSEP,0,0,0,14.577,14.243,14.208,none,0.1659982398979816,165.0,4938993,0.5,11.87,0.98, 19 42 55.85,40 00 19.8,295.73270833333333,40.0055,15.637371,15.977545000000001,15.125978,0.002,0.01,0.01,15.239425204146343,15.475805737934515,14.849363066618542
6,6,2076485948811870976,Gaia DR2 2076485948811870976,2015.5,295.18429553655005,0.0722186159488081,40.169860926208976,0.09260187549994088,0.4091434176770269,0.0920985925143787,4.44245,-2.9664450824174535,0.17918625595987409,-4.277461387972778,0.2045305306064137,0.18286298,0.16934872,0.015968068000000002,0.053748704,0.19512294,0.037078872,-0.284011,0.13070147,0.18104516,0.23860657,233.57051,0.05243695893005475,0.04114191352676677,False,False,1776.6916690425974,2.232476613015685,17.564335,819.1076254773254,10.499449515024107,18.068035000000002,1332.6822931048805,11.577674654663438,16.950104,1.1179313999999998,0.50370026,0.6142310999999999,0.0,,NOT_AVAILABLE,73.91103515649573,8.567318532236067,310.7140626116615,60.09919887366083,,,,,,,,,,,,,,,,2367.87165588966,1886.01710483495,3157.20762203313,1953.4111224956,1,1,5023666,2MASS J19404422+4010114,295.18427,40.169841999999996,17.597,5481,191,-172,PHO1,4.629,0.032,-0.09699999999999999,KIC0,-0.5,0.3,-0.3,KIC0,0.708,0.11699999999999999,-0.05,0.8059999999999999,0.073,-0.09699999999999999,DSEP,0,0,0,16.134,15.977,15.495,none,0.09786264889444382,210.0,5023666,0.73,21.54,1.83,19 40 44.23,40 10 11.6,295.1842916666667,40.16988888888889,17.564335,18.068035000000002,16.950104,0.01,0.2,0.01,17.185789837505517,17.57985868653727,16.676542241664226
7,7,2076485639574178560,Gaia DR2 2076485639574178560,2015.5,295.1979235915495,0.053664888367089575,40.12783135859213,0.06268962763230476,0.239482907113957,0.06521271792424244,3.6723343999999996,-3.0467868669860767,0.1252519621237666,-3.805729323781677,0.12731699526111898,0.08083026,0.05040658,-0.12397879,-0.0027312248,0.22755621,-0.011814013,-0.2012503,-0.056100875,-0.03955396,0.08910219,251.63576,0.0,0.0,False,False,2496.911734158946,2.0600629581890133,17.194859,1223.622371881833,11.466361381674345,17.632269,1829.8046374487028,8.116356673954058,16.605907000000002,1.0263615,0.43741035,0.5889511,0.0,,NOT_AVAILABLE,73.87868422078378,8.538137010783284,310.7051075824285,60.05612867104507,,,,,,,,,,,,,,,,3744.9313037264396,2941.43158709437,5066.91691872425,1962.11391222022,1,1,5023724,2MASS J19404751+4007404,295.19797,40.127891999999996,17.215,6187,225,-275,PHO1,4.499,0.054000000000000006,-0.21600000000000003,KIC0,-0.32,0.3,-0.3,KIC0,0.937,0.305,-0.102,1.011,0.14400000000000002,-0.14400000000000002,DSEP,0,0,0,15.950999999999999,15.634,15.503,none,0.25293719463538805,219.0,5023724,0.66,18.0,0.91,19 40 47.50,40 07 40.3,295.19791666666663,40.12786111111111,17.194859,17.632269,16.605907000000002,0.01,0.2,0.01,16.809742225813466,17.13949315866798,16.33124406367717
8,8,2076487155709622784,Gaia DR2 2076487155709622784,2015.5,295.2055741993964,0.018043440175493187,40.151928729051754,0.021104837680737558,0.29813807386875946,0.02208036498004446,13.502407,-2.9872359886652604,0.040594496745566436,-3.9203588155523996,0.04122827505907151,0.030339157000000002,0.07124161,-0.20195585,-0.015563308,0.27750808,-0.030505765,-0.26620582,-0.07537991,-0.073712565,-0.009630728,212.07675,0.0,0.0,False,False,16615.464981629626,5.269900507728456,15.137084,9080.127518493147,14.920659151146701,15.456159,11084.21007298608,15.74557493792056,14.650158,0.8060007,0.31907463,0.48692608,0.0,,NOT_AVAILABLE,73.9029257078616,8.544477638396302,310.73252455605234,60.07681012319261,5842.6665,5776.6665,6074.3364,,,,,,,2.6467166,2.4486797,2.707541,7.354514599999999,5.918487,8.790542,3062.9273558950604,2864.76164218376,3289.82209235458,1960.02062655026,1,1,5023760,2MASS J19404934+4009070,295.20557,40.151958,15.177,6444,194,-213,PHO1,4.566,0.05,-0.15,KIC0,-1.92,0.3,-0.05,KIC0,0.7659999999999999,0.142,-0.047,0.789,0.052000000000000005,-0.047,DSEP,0,0,0,14.107999999999999,13.889000000000001,13.775,none,0.10600706831252428,224.0,5023760,0.43,4.78,0.1,19 40 49.33,40 09 07.0,295.20554166666665,40.15194444444445,15.137084,15.456159,14.650158,0.002,0.01,0.01,14.73573641317626,14.952073399039145,14.373064243494671
9,9,2076487155709634688,Gaia DR2 2076487155709634688,2015.5,295.21290182273395,0.048155176444622534,40.16250370077137,0.057867451376363725,0.3663971815272681,0.06070070007670779,6.0361275999999995,-3.256442452561382,0.11292103793755877,-3.8888828135059916,0.12049747045369708,0.08808107,0.111466244,-0.1470256,0.014653913000000001,0.29203442,0.0133031355,-0.14753655,0.020391257,0.07531367,0.12232567,249.07432999999997,0.0,0.0,False,False,2964.9649788297834,2.1578674139243303,17.008316,1460.4557752753306,12.91569020153552,17.440166,2166.657941099412,11.098047251969463,16.422442999999998,1.0177231,0.43185043,0.58587265,0.0,,NOT_AVAILABLE,73.9150258124627,8.544593502527214,310.7502868379178,60.08485402299157,5162.2563,4822.75,5695.5874,0.5608,0.4597,0.71,0.2668,0.2209,0.35200000000000004,,,,,,,2571.49165967904,2198.4987760169197,3090.06452623577,1959.84187969561,1,1,5023796,2MASS J19405109+4009452,295.21289,40.16256,17.034000000000002,6321,224,-336,PHO1,4.417,0.07,-0.21,KIC0,0.07,0.2,-0.35,KIC0,1.125,0.37,-0.14800000000000002,1.207,0.163,-0.19899999999999998,DSEP,0,0,0,15.220999999999998,15.511,15.349,none,0.20527062993422693,227.0,5023796,0.64,18.3,0.19,19 40 51.10,40 09 45.1,295.2129166666667,40.162527777777775,17.008316,17.440166,16.422442999999998,0.01,0.2,0.01,16.62257376815359,16.94695144641848,16.147679068095165
