,Unnamed: 0,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,BP_err,RP_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
1,10833,657785717535594112,211707676,130.22665116465976,16.016838153343745,18.955204000000002,0.01,20.760635,17.508032,5.180182930810092,0.35051751937311737,0.2,0.2,AD 2848,0.16,20.17,14.31, 0.31, 0.0758,0,Y, 0.00887, 0.3926, 0.0356,0,Y,M,N,    , 0.03363, 0.06716,2,16.79,0,2,All,2M,Simbad,130.22681,16.016886,0.31
4,11433,658694566974774656,211725787,128.29854448123558,16.264239379847247,18.501085,0.01,20.369235999999997,17.162775,5.252390474289379,0.2806747943751753,0.2,0.2,AD 1724,0.16,19.46,14.24, 2.06, 0.2196,0,Y, 0.00866,       ,       , ,N,N,N,    , 0.05556, 1.54519,2,18.73,0,2,All,2M,Simbad,128.298692,16.26428,2.06
5,11513,657994143708820736,211727975,129.9941034742882,16.296180371314144,18.260776999999997,0.01,19.914898,16.931046,4.925256980319537,0.21525116091100507,0.2,0.01,AD 2655,0.16,19.12,14.18, 0.91, 0.3663,0,Y, 0.00828,       ,       , ,N,N,N,    , 0.03995, 1.20584,2,17.27,0,2,All,2M,Simbad,129.994275,16.296223,0.91
7,11580,658736180914476672,211729756,127.646394236977,16.321451809396436,16.144463000000002,0.002,17.544634,14.969307,6.451747430673528,0.08865092483057485,0.2,0.01,AD 1383,0.33,16.65,12.53, 2.39, 0.0612,0,Y, 0.00656,       ,       , ,N,N,N,    , 0.03994, 1.85951,2,15.46,0,2,All,2M,Simbad,127.64651699999999,16.321543,2.39
8,11731,658033215026842368,211734093,129.1355150483757,16.383949593358686,14.624638000000001,0.002,15.622285,13.635796,5.1566481048636525,0.04285005106143857,0.01,0.01,AD 2182,0.58,14.81,11.51,18.22, 0.3548,0,N, 0.00760, 7.7446, 0.3470,0,Y,N,N,    , 0.00773, 0.23048,K,14.65,1,2,All,2M,Simbad,129.135678,16.383992000000003,18.22
9,11901,610158378513683712,211738707,132.33473544776726,16.448424322228316,17.785631,0.01,19.620901,16.430141,5.476050398607058,0.16885682667049565,0.2,0.01,AD 3703,0.19,18.73,13.62, 0.30, 0.1439,0,Y, 0.00788, 0.1126, 0.0221,1,M,M,N,    , 0.01541, 0.05008,2,16.75,0,2,All,2M,Simbad,132.334904,16.448442,0.3
10,12150,658156527832150400,211745306,131.04868989853094,16.54234466967776,17.603635999999998,0.01,19.334107999999997,16.302904,5.010235022475769,0.14101078039206014,0.2,0.01,       ,0.19,18.39,13.62, 1.04, 0.1684,0,Y, 0.00643,       ,       , ,N,M,N,    , 0.02571, 0.85318,2,16.5,0,1,All,2M,Simbad,131.048851,16.542360000000002,1.04
12,12244,658776313088864896,211748286,127.78142753740255,16.584406607335268,16.671942,0.002,18.362347,15.382045999999999,5.4764690099327495,0.18086009138969736,0.2,0.01,AD 1452,0.32,17.49,12.62, 9.02, 0.0514,0,N, 0.00686,       ,       , ,N,Y,N,    , 0.03110, 1.41995,2,15.97,0,2,All,2M,Simbad,127.781644,16.584473000000003,9.02
13,12916,658310704273685504,211771406,131.3927287411475,16.910995222967678,18.179413,0.01,19.935033999999998,16.84473,5.0819061993725185,0.2524412143737258,0.2,0.01,AD 3423,0.17,19.01,14.16, 0.93, 0.7201,0,Y, 0.00804,       ,       , ,N,N,N,    , 0.05354, 2.29769,2,18.35,0,2,All,2M,Simbad,131.392887,16.911013,0.93
14,12977,658276035297795328,211773459,132.1361182948531,16.93986902447597,14.889292000000001,0.002,16.03566,13.812378,5.214678668988625,0.07371542359157496,0.01,0.01,AD 3663,0.59,15.15,11.47, 5.94, 0.5864,0,Y, 0.00765,       ,       , ,N,Y,N,cand, 0.02701, 1.20081,K,14.97,1,2,All,2M,Simbad,132.136293,16.939895,5.94
15,13038,658461680964201472,211776073,129.60354287561475,16.97665375557859,15.906295000000002,0.002,17.25096,14.752975,5.166228523278888,0.07641083356418989,0.2,0.01,AD 2396,0.38,16.28,12.35,23.12, 0.5729,0,Y, 0.00940,       ,       , ,N,M,N,    , 0.01170, 0.44170,2,15.54,0,2,All,2M,Simbad,129.603625,16.976757,23.12
17,13192,658436014239681536,211781646,130.3240072815179,17.055684250836013,17.32077,0.01,19.11439,15.998535,5.571405889421442,0.16449607359388135,0.2,0.01,AD 2928,0.23,18.21,13.25, 1.34, 0.1072,0,Y, 0.00824,       ,       , ,M,Y,Y,    , 0.03912, 0.66119,2,17.55,0,2,All,2M,Simbad,130.324144,17.055733,1.34
18,13362,658998483157410432,211787610,127.7323025389828,17.139521751504848,16.123825,0.002,17.447577,14.943116,3.534324218517709,0.21332935252917667,0.2,0.01,AD 1421,0.35,16.56,12.46,18.55, 0.0715,0,Y, 0.00667,       ,       , ,N,Y,M,    , 0.00424, 0.13762,2,15.78,0,2,All,2M,Simbad,127.7324,17.139626,18.55
19,13424,611711030666633216,211789682,133.3192449661687,17.169410570256588,16.171211,0.002,17.576601,14.987141000000001,4.537205192640647,0.08380657594585833,0.2,0.01,AD 4062,0.34,16.98,12.52,23.30, 0.4196,0,Y, 0.00891,       ,       , ,N,Y,Y,    , 0.00770, 0.30126,2,15.64,0,2,All,2M,Simbad,133.319354,17.169478,23.3
20,13441,658482051992944512,211790121,129.98577406460262,17.17596437070861,19.476028,0.01,21.013775,18.006529999999998,5.8842224456825445,0.5278175506687741,0.2,0.2,AD 2651,0.14,20.77,14.84, 0.64, 0.0424,0,Y, 0.00896,       ,       , ,N,N,N,    , 0.05432, 0.50250,2,18.21,0,2,All,2M,Simbad,129.985972,17.175997,0.64
22,13576,658475424859524992,211795467,129.7317669194598,17.25263048405356,16.407954999999998,0.002,17.851202,15.219053,4.744751315813551,0.09616766347862124,0.2,0.01,AD 2482,0.3,16.96,12.71,15.49, 0.2369,0,Y, 0.00794,       ,       , ,N,Y,N,    , 0.01088, 0.30408,2,16.55,0,2,All,2M,Simbad,129.73193700000002,17.252666,15.49
23,13580,659225291790784384,211795569,129.5566607442646,17.254309628879724,13.984025,0.002,14.747373000000001,13.138568,4.752284644598098,0.03233056955351348,0.01,0.01,AD 2380,0.6,13.96,11.31,24.44, 0.7861,0,Y, 0.00788, 8.0562, 0.1032,0,Y,M,N,    , 0.01065, 0.55179,2,14.03,1,2,All,2M,Simbad,129.556849,17.254378,24.44
24,13582,659228074929597440,211795614,129.45447685747152,17.254959240878232,14.510561,0.002,15.50024,13.524257999999998,5.392189832160062,0.040540703535794136,0.01,0.01,AD 2354,0.6,14.62,11.39,15.99, 0.7076,0,Y, 0.00795,       ,       , ,N,Y,Y,    , 0.01268, 0.58145,2,14.58,1,2,All,2M,Simbad,129.454634,17.255004,15.99
25,13588,659228173712358272,211795706,129.51870403564268,17.25646024737707,18.972534,0.01,20.546162,17.571998999999998,4.831758517076027,0.3728027241128154,0.2,0.2,AD 2368,0.15,20.03,14.52, 1.14, 0.0102,0,Y, 0.00712,       ,       , ,N,N,N,    , 0.04342, 0.96489,2,17.06,0,2,All,2M,Simbad,129.518875,17.256505999999998,1.14
27,13699,659086512807199232,211799258,128.24595390605307,17.306458321357706,15.905163,0.002,17.427116,14.702101,5.492483716550822,0.09163865246151616,0.2,0.01,AD 1695,0.41,16.42,12.19,24.24, 0.4744,0,Y, 0.00770,       ,       , ,N,Y,N,    , 0.01595, 0.78295,2,15.98,0,2,All,2M,Simbad,128.246153,17.306547,24.24
28,13700,659095308900151552,211799259,127.89339222139736,17.306474909323846,18.478153,0.01,19.831219,17.109460000000002,5.8881967336336745,0.3833071165592487,0.2,0.2,AD 1515,0.15,19.29,14.37, 0.58, 0.1162,0,Y, 0.00685,       ,       , ,N,N,N,    , 0.02932, 0.05955,2,17.56,0,2,All,2M,Simbad,127.89355800000001,17.306549,0.58
