,Av,Av_err,age,age_err,d_kpc,dkpc_err,eep,eep_err,feh,feh_err,BV,B,V,jmag,hmag,kmag,logg,teff,logL,parallax,mass,prot
0,0.3936355202774421,0.01,9.605631100470756,1.9211262200941512,0.5762759195007569,0.05762759195007569,247.7628847190066,0.1,0.06908119768355919,0.01,1.4982525816889236,23.042870928253734,21.54461834656481,17.031440683168658,16.35582323476381,16.116985125068503,4.972143860677464,3228.128205146887,-2.1083877801351494,1.7352798653574257,0.27350374188905086,39.03925652094702
1,0.4734356593750214,0.01,9.58367632453862,1.9167352649077243,0.8073780060069865,0.08073780060069866,349.4417700028321,0.1,0.11867255887654893,0.01,0.7895028082616538,15.482238651971002,14.692735843709348,13.22789161927681,12.853526475529652,12.7897490460925,4.4251602274192665,5780.943418333134,0.03131953274437777,1.2385772123588745,1.037143369426019,26.769694490778413
2,0.8545473932021803,0.01,10.104979743647766,2.0209959487295532,0.7625593204922575,0.07625593204922576,443.7895632247764,0.1,-0.09981284048300042,0.01,0.8999716560880362,15.446295223839554,14.546323567751518,12.743872377769314,12.29960737501791,12.21631606393915,4.15111927115418,5671.136409300034,0.20622729498758272,1.3113733884394287,0.8917672961357412,56.53094551802491
3,0.34000438605989214,0.01,9.587584552111851,1.9175169104223704,0.16236090564683595,0.016236090564683597,403.6840926267249,0.1,0.04994963984279957,0.01,0.6614060281790479,10.22626787916633,9.564861850987283,8.323270630486014,8.006677793885025,7.956395649824284,4.0146154532158755,6044.331623072814,0.6237953182520831,6.159118144950356,1.3200526525614356,23.228324191529296
4,0.8696496848121713,0.01,9.62027364336566,1.9240547286731322,0.15775697504405917,0.015775697504405918,424.86992714051314,0.1,0.028698393257499483,0.01,0.7667498371963166,10.671745716052108,9.904995878855791,8.342121920506308,7.996063924664465,7.922215409865311,4.00257817468209,6220.917792492495,0.6692045687634532,6.3388639375261535,1.2702487853329494,27.443062789844028
5,0.08813443097669149,0.01,10.031484268995005,2.006296853799001,0.2754926240674642,0.027549262406746423,382.75325951255445,0.1,0.13313215071530843,0.01,0.8194025216202601,13.449690105619007,12.630287583998747,11.22545828232744,10.805535140748534,10.747233142621106,4.44524981207945,5340.153019882638,-0.19779974411976184,3.629861247229306,0.8822794240450746,48.450838176763824
6,0.7767984372086307,0.01,9.817663710794566,1.9635327421589133,0.36746397907762685,0.036746397907762685,392.29882088758796,0.1,0.1624348241925042,0.01,0.8810712452046623,13.994789191644653,13.11371794643999,11.415239276336274,11.006579596634081,10.926704088163493,4.343119515799437,5766.498004748879,0.10152051806436742,2.7213551720364673,1.0194880381274583,38.76905712907652
7,0.8475476330547363,0.01,10.040823485994514,2.008164697198903,0.41437102559439776,0.041437102559439776,437.020760696116,0.1,-0.1951372914090453,0.01,0.8332951559895978,13.868957393488508,13.03566223749891,11.32517019336823,10.911382927555959,10.834449881801678,4.160573216833189,5859.546137678862,0.2708298152347151,2.413296148217753,0.9277173478357094,49.59161379067037
8,0.18181765283733875,0.01,9.140647273729822,1.8281294547459646,0.6829002446650119,0.06829002446650119,266.155382524868,0.1,0.06960796762351706,0.01,1.3669695540165137,19.59074862418852,18.223779070172007,15.340779927716119,14.603941749083436,14.433593252040458,4.733474537219071,3908.8297639094408,-1.2080229843387729,1.4643427174206642,0.5837457445772127,20.784807943196867
9,0.43034653237220044,0.01,9.850168868558104,1.970033773711621,0.06611362784417704,0.006611362784417704,334.486114638295,0.1,-0.1792656803521084,0.01,1.1151772679975398,12.473035061214947,11.357857793217407,9.260498204880763,8.631117907552579,8.530144251300925,4.619237640474616,4708.332044269529,-0.6885237240704044,15.125474620102473,0.7038823784739126,46.21292554595693
10,0.16549977466365562,0.01,8.979449851735785,1.7958899703471571,0.04432597718380572,0.004432597718380573,258.04469091858664,0.1,0.01954346603094237,0.01,1.3526339470473445,13.368843090675325,12.01620914362798,9.284851261887333,8.547633700441004,8.38792081224888,4.720706744850237,3983.090702203391,-1.1514601780696496,22.56013433958417,0.5977715251839049,16.864210919473532
11,0.7066041289942178,0.01,9.12898641218515,1.8257972824370299,0.39799145731446994,0.039799145731446994,476.4853822790444,0.1,-0.08494690838252872,0.01,0.8479961505381439,11.157393934802055,10.309397784263911,8.63783800361841,8.22231178195399,8.145102800764795,3.4000057601048863,5703.446046628808,1.2719673012268198,2.512616744961582,1.798514880016256,15.811204951346829
12,0.5353477680616567,0.01,10.105063930721082,2.0210127861442166,0.7001920552166007,0.07001920552166006,464.05691181068477,0.1,-0.07728936019114352,0.01,0.9714586537894245,14.817952964848239,13.846494311058814,12.040039563856281,11.539500427218462,11.455937922204734,3.9039020514931955,5214.273490513529,0.31985865002477615,1.4281795866573428,0.9176333673077331,59.1811385118217
14,0.19648696695621115,0.01,9.885795252922353,1.9771590505844707,0.6450894364436892,0.06450894364436892,396.0889241669712,0.1,0.04851697961984405,0.01,0.7082514794220085,14.512505788375641,13.804254308953633,12.532607277185571,12.17906364008072,12.129721953920829,4.342874908973787,5749.029649142973,0.08421940053495003,1.55017264817247,0.9912937631269095,36.056258115027894
15,0.21174586205241952,0.01,9.781740345298758,1.9563480690597517,0.2672298565608965,0.02672298565608965,458.6957704634648,0.1,-0.06638001373249233,0.01,0.6562041028869956,11.199918582250636,10.54371447936364,9.305585183072779,8.96072935134622,8.914885481011646,3.881467216481167,5842.553453937884,0.6292254435218336,3.742096833300958,1.126508634946038,29.474696708779284
16,0.04149732550990637,0.01,9.715094961409113,1.9430189922818226,0.8872252477253811,0.08872252477253811,246.46397336129007,0.1,0.09307962023611216,0.01,1.4062623321760839,23.924512679633263,22.51825034745718,18.106350473670712,17.4692889531229,17.24581688407049,4.992551551756717,3173.279142724008,-2.20693491293829,1.12710949396869,0.24467768543890783,43.58540695009651
