name,mass_amp,mass_err_amp,age_amp,age_err_amp,log_amp,teff_amp,mass_basta,mass_err_basta,age_basta,age_err_basta,teff_basta,teff,teff_err,feh,feh_err,period,period_err,note
16CygA,1.10,0.02,7.07,0.46,4.295,5677,1.040,0.01,6.95,0.26,5668,5825,50,0.09,0.02,23.8,1.7,seismic
16CygB,1.06,0.02,6.82,0.28,4.360,5629,0.998,0.005,7.02,0.14,5592,5750,50,0.05,0.02,23.2,7.4,seismic
3427720,1.13,0.04,2.23,0.17,4.388,5985,1.120,0.02,2.22,0.31,6019,6040,84,0.03,0.09,13.9,2.1,seismic
3656476,1.17,0.03,8.13,0.59,4.246,5642,1.070,0.01,7.68,0.42,5525,5710,84,0.25,0.09,31.7,3.5,seismic
5184732,1.27,0.04,4.17,0.40,4.270,5905,1.180,0.02,4.05,0.42,5810,5840,84,0.38,0.09,19.8,2.4,seismic
6116048,1.01,0.03,6.23,0.37,4.270,5838,1.060,0.02,5.54,0.34,5943,5935,84,0.24,0.09,17.3,2.0,seismic
6196457,1.23,0.04,5.51,0.71,4.053,6064,1.210,0.02,5.52,0.50,5991,5871,94,0.17,0.11,16.4,1.2,KOI
6521045,1.04,0.02,6.24,0.37,4.118,5933,1.110,0.02,6.50,0.51,5886,5825,75,0.02,0.10,25.3,2.8,KOI
7680114,1.13,0.03,7.19,0.70,4.184,5801,,,,,,5855,84,0.11,0.09,26.3,1.9,seismic
7871531,0.84,0.02,9.15,0.47,4.479,5253,0.840,0.02,10.10,0.99,5240,5400,84,0.24,0.09,33.7,2.6,seismic
8006161,1.04,0.02,5.04,0.17,4.502,5165,0.948,0.005,5.08,0.10,5250,5390,84,0.34,0.09,29.8,3.1,seismic
8349582,1.19,0.04,7.93,0.94,4.178,5695,1.070,0.02,8.03,0.75,5630,5699,74,0.30,0.10,51.0,1.5,KOI
9098294,1.00,0.03,7.28,0.51,4.314,5718,1.010,0.02,6.93,0.57,5734,5840,84,0.13,0.09,19.8,1.3,seismic
9139151,1.14,0.03,1.71,0.19,4.376,6092,1.160,0.02,1.79,0.46,6019,6125,84,0.11,0.09,11.0,2.2,seismic
9955598,0.96,0.01,6.43,0.47,4.506,5307,0.890,0.01,6.98,0.45,5250,5460,75,0.08,0.10,34.7,6.3,KOI
10454113,1.19,0.04,2.03,0.29,4.315,6138,1.150,0.03,2.86,0.54,6095,6120,84,0.06,0.09,14.6,1.1,seismic
10586004,1.16,0.05,6.35,1.37,4.072,5943,1.180,0.03,6.43,0.62,5753,5770,83,0.29,0.10,29.8,1.0,KOI
10644253,1.13,0.05,1.07,0.25,4.402,6001,1.160,0.02,1.20,0.39,5991,6030,84,0.12,0.09,10.91,0.87,seismic
10963065,1.07,0.02,4.36,0.46,4.294,6063,1.090,0.02,4.18,0.44,6076,6104,74,0.20,0.10,12.4,1.2,KOI
11244118,1.10,0.05,6.43,0.58,4.077,6023,1.130,0.02,6.90,0.44,5677,5745,84,0.35,0.09,23.2,3.9,seismic
11401755,1.03,0.05,5.85,0.93,4.043,6094,1.060,0.03,7.10,0.60,6057,5911,66,0.20,0.06,17.2,1.4,KOI
