,source_id,EPIC,ra,dec,G,G_err,bp,rp,parallax,parallax_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot
0,657875740050303744,211700306,129.06035505657923,15.919764923052947,15.891451,0.0008569890672137139,17.15391,14.780434,8.501583338871905,0.07108749340928182,AD 2136,0.35,16.21,12.48,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,15.42,0,2,All,2M,Simbad,129.06053400000002,15.919901000000001,0.0
8,658033215026842368,211734093,129.1355150483757,16.383949593358686,14.624638,0.0004975519460602596,15.622285,13.635796,5.156648104863652,0.04285005106143857,AD 2182,0.58,14.81,11.51,18.22, 0.3548,0,N, 0.00760, 7.7446, 0.3470,0,Y,N,N,    , 0.00773, 0.23048,K,14.65,1,2,All,2M,Simbad,129.135678,16.383992000000003,18.22
14,658276035297795328,211773459,132.1361182948531,16.93986902447597,14.889292,0.0007455012603568636,16.03566,13.812378,5.214678668988625,0.07371542359157496,AD 3663,0.59,15.15,11.47, 5.94, 0.5864,0,Y, 0.00765,       ,       , ,N,Y,N,cand, 0.02701, 1.20081,K,14.97,1,2,All,2M,Simbad,132.136293,16.939895,5.94
16,658465872852222720,211781289,129.53204148494802,17.050620964431328,9.666489,0.0002321202173129054,9.905568,9.314571,5.39570255047412,0.052263537737143276,       ,1.36,9.62,8.7,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,9.79,1,1,All,2M,Simbad,129.532204,17.050669,0.0
23,659225291790784384,211795569,129.5566607442646,17.254309628879728,13.984025,0.000493543298905605,14.747373,13.138568,4.752284644598098,0.03233056955351348,AD 2380,0.6,13.96,11.31,24.44, 0.7861,0,Y, 0.00788, 8.0562, 0.1032,0,Y,M,N,    , 0.01065, 0.55179,2,14.03,1,2,All,2M,Simbad,129.556849,17.254378,24.44
24,659228074929597440,211795614,129.45447685747152,17.25495924087823,14.510561,0.0005415403548979456,15.50024,13.524258,5.392189832160061,0.04054070353579414,AD 2354,0.6,14.62,11.39,15.99, 0.7076,0,Y, 0.00795,       ,       , ,N,Y,Y,    , 0.01268, 0.58145,2,14.58,1,2,All,2M,Simbad,129.454634,17.255004,15.99
29,659230166577197056,211799551,129.5294560905271,17.310530742772897,15.10395,0.0005193617191145963,16.23375,14.042189,5.528206577178659,0.052362570426016455,AD 2371,0.53,15.48,11.81,18.55, 0.7958,0,Y, 0.00846,       ,       , ,N,Y,Y,    , 0.01323, 0.62656,2,14.97,0,2,All,2M,Simbad,129.52961399999998,17.310575,18.55
30,662045092440012288,211800408,126.77812541431217,17.32255309522319,14.44771,0.00024339487070328407,15.382629,13.49408,5.176867838453324,0.03206401246265886,AD 0934,0.59,14.54,11.44,16.89, 0.4303,0,Y, 0.00817,       ,       , ,N,Y,Y,    , 0.00250, 0.07632,2,14.61,1,2,All,2M,Simbad,126.778251,17.322591,16.89
36,659151177834641152,211810915,127.66088048892341,17.472020059237664,15.163536,0.0005600857521718269,16.326529,14.088726,5.484001395940516,0.0587116747274646,HSHJ 6 ,0.52,15.58,11.82,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,15.77,0,2,All,2M,Simbad,127.66105800000001,17.472068,0.0
42,658607950370340608,211822797,130.41020914491466,17.639974428694885,14.526263,0.0003226486030177858,15.50418,13.549791,5.342090772970984,0.03905879550643052,HSHJ385,0.59,14.69,11.43, 7.93, 0.1890,1,N, 0.00842,14.6609, 0.1861,0,M,Y,Y,    , 0.00861, 0.16482,2,14.57,1,2,All,2M,Simbad,130.41036499999998,17.640005,7.93
